"","word","freq"
"""india"",","""india"",",15
"""china"",","""china"",",14
"""foodsecurity"",","""foodsecurity"",",13
"""climatechange"",","""climatechange"",",12
"""conservation"",","""conservation"",",12
"""agribusiness"",","""agribusiness"",",9
"""agriculture"",","""agriculture"",",9
"""agrobiodiversity"",","""agrobiodiversity"",",7
"""sustainability"",","""sustainability"",",7
"""nepal"",","""nepal"",",6
"""bangladesh"",","""bangladesh"",",5
"""cropdiversity"",","""cropdiversity"",",5
"""ecosystemservices"",","""ecosystemservices"",",5
"""geneticdiversity"",","""geneticdiversity"",",5
"""plantgeneticresources"",","""plantgeneticresources"",",5
"""rice"",","""rice"",",5
"""sustainabledevelopment"",","""sustainabledevelopment"",",5
"""biodiversity"",","""biodiversity"",",4
"""ethnobotany"",","""ethnobotany"",",4
"""germplasm"",","""germplasm"",",4
"""intercropping"",","""intercropping"",",4
"""maize"",","""maize"",",4
"""populationstructure"",","""populationstructure"",",4
"""sustainableintensification"",","""sustainableintensification"",",4
"""adaptation"",","""adaptation"",",3
"""agriculturalbiodiversity"",","""agriculturalbiodiversity"",",3
"""clusteranalysis"",","""clusteranalysis"",",3
"""conservationagriculture"",","""conservationagriculture"",",3
"""cropimprovement"",","""cropimprovement"",",3
"""cropwildrelative"",","""cropwildrelative"",",3
"""domestication"",","""domestication"",",3
"""homegardens"",","""homegardens"",",3
"""landuse"",","""landuse"",",3
"""livelihood"",","""livelihood"",",3
"""livestock"",","""livestock"",",3
"""multifunctionalagriculture"",","""multifunctionalagriculture"",",3
"""principalcomponentanalysis"",","""principalcomponentanalysis"",",3
"""production"",","""production"",",3
"""traditionalecologicalknowledge"",","""traditionalecologicalknowledge"",",3
"""wheat"",","""wheat"",",3
"""wildedibleplants"",","""wildedibleplants"",",3
"""yunnan"",","""yunnan"",",3
"""agriculturalintensification"",","""agriculturalintensification"",",2
"""agriculturallandscape"",","""agriculturallandscape"",",2
"""agro-biodiversity"",","""agro-biodiversity"",",2
"""agro-ecosystem"",","""agro-ecosystem"",",2
"""agrodiversity"",","""agrodiversity"",",2
"""arsenic"",","""arsenic"",",2
"""asia"",","""asia"",",2
"""biologicalcontrol"",","""biologicalcontrol"",",2
"""breeding"",","""breeding"",",2
"""cashcrop"",","""cashcrop"",",2
"""certification"",","""certification"",",2
"""cowpea"",","""cowpea"",",2
"""croppingpattern"",","""croppingpattern"",",2
"""cropwildrelatives"",","""cropwildrelatives"",",2
"""cultivation"",","""cultivation"",",2
"""diversity"",","""diversity"",",2
"""economics"",","""economics"",",2
"""ethnomedicine"",","""ethnomedicine"",",2
"""ethnomycology"",","""ethnomycology"",",2
"""fertilizer"",","""fertilizer"",",2
"""forest"",","""forest"",",2
"""forestry"",","""forestry"",",2
"""gender"",","""gender"",",2
"""genomics"",","""genomics"",",2
"""himalaya"",","""himalaya"",",2
"""himalayanregion"",","""himalayanregion"",",2
"""landconsolidation"",","""landconsolidation"",",2
"""livelihoods"",","""livelihoods"",",2
"""medicinalplants"",","""medicinalplants"",",2
"""minimumtillage"",","""minimumtillage"",",2
"""participatoryplantbreeding"",","""participatoryplantbreeding"",",2
"""plantdiversity"",","""plantdiversity"",",2
"""povertyalleviation"",","""povertyalleviation"",",2
"""productivity"",","""productivity"",",2
"""regenerationstatus"",","""regenerationstatus"",",2
"""residuemanagement"",","""residuemanagement"",",2
"""rubber"",","""rubber"",",2
"""ruraldevelopment"",","""ruraldevelopment"",",2
"""soilerosion"",","""soilerosion"",",2
"""speciesdiversity"",","""speciesdiversity"",",2
"""sustainableagriculture"",","""sustainableagriculture"",",2
"""sustainableproduction"",","""sustainableproduction"",",2
"""tibet"",","""tibet"",",2
"""traditionalcultivars"",","""traditionalcultivars"",",2
"""westbengal"",","""westbengal"",",2
"""women"",","""women"",",2
"""xishuangbanna"",","""xishuangbanna"",",2
"""yield"",","""yield"",",2
"""'goldenrice'"",","""'goldenrice'"",",1
"""\""add-value\""interventionstobiodiversity"",","""\""add-value\""interventionstobiodiversity"",",1
"""abioticstress"",","""abioticstress"",",1
"""actornetworktheory"",","""actornetworktheory"",",1
"""adaptability"",","""adaptability"",",1
"""adaptivecapacity"",","""adaptivecapacity"",",1
"""adaptivetransitionmanagement"",","""adaptivetransitionmanagement"",",1
"""adolescentgirls"",","""adolescentgirls"",",1
"""adoption"",","""adoption"",",1
"""advisoryservices"",","""advisoryservices"",",1
"""afghanistan"",","""afghanistan"",",1
"""agent-basedanalysis"",","""agent-basedanalysis"",",1
"""agrarianchange"",","""agrarianchange"",",1
"""agrariancrisis"",","""agrariancrisis"",",1
"""agriculturalextensionservices"",","""agriculturalextensionservices"",",1
"""agriculturalheritage"",","""agriculturalheritage"",",1
"""agriculturalinitiatives"",","""agriculturalinitiatives"",",1
"""agriculturalinstitutions"",","""agriculturalinstitutions"",",1
"""agriculturallandscapes"",","""agriculturallandscapes"",",1
"""agriculturalmarketing"",","""agriculturalmarketing"",",1
"""agriculturalmechanization"",","""agriculturalmechanization"",",1
"""agriculturalmultifunctionality"",","""agriculturalmultifunctionality"",",1
"""agriculturaloutlook"",","""agriculturaloutlook"",",1
