"","word","freq"
"""china"",","""china"",",29
"""nepal"",","""nepal"",",24
"""agrobiodiversity"",","""agrobiodiversity"",",21
"""conservation"",","""conservation"",",19
"""india"",","""india"",",18
"""foodsecurity"",","""foodsecurity"",",15
"""agriculture"",","""agriculture"",",14
"""climatechange"",","""climatechange"",",12
"""rice"",","""rice"",",12
"""geneticdiversity"",","""geneticdiversity"",",11
"""bangladesh"",","""bangladesh"",",10
"""landuse"",","""landuse"",",10
"""agribusiness"",","""agribusiness"",",9
"""himalaya"",","""himalaya"",",9
"""biodiversity"",","""biodiversity"",",8
"""sustainability"",","""sustainability"",",8
"""sustainabledevelopment"",","""sustainabledevelopment"",",8
"""livestock"",","""livestock"",",7
"""on-farmconservation"",","""on-farmconservation"",",7
"""yunnan"",","""yunnan"",",7
"""agroforestry"",","""agroforestry"",",6
"""cropdiversity"",","""cropdiversity"",",6
"""ethnobotany"",","""ethnobotany"",",6
"""intercropping"",","""intercropping"",",6
"""maize"",","""maize"",",6
"""plantgeneticresources"",","""plantgeneticresources"",",6
"""wheat"",","""wheat"",",6
"""xishuangbanna"",","""xishuangbanna"",",6
"""agriculturalbiodiversity"",","""agriculturalbiodiversity"",",5
"""cropimprovement"",","""cropimprovement"",",5
"""diversity"",","""diversity"",",5
"""economics"",","""economics"",",5
"""ecosystemservices"",","""ecosystemservices"",",5
"""energy"",","""energy"",",5
"""indigenousknowledge"",","""indigenousknowledge"",",5
"""populationstructure"",","""populationstructure"",",5
"""sustainableagriculture"",","""sustainableagriculture"",",5
"""agriculturalintensification"",","""agriculturalintensification"",",4
"""farmingsystems"",","""farmingsystems"",",4
"""gender"",","""gender"",",4
"""germplasm"",","""germplasm"",",4
"""homegardens"",","""homegardens"",",4
"""landraces"",","""landraces"",",4
"""livelihood"",","""livelihood"",",4
"""oryzasativa"",","""oryzasativa"",",4
"""principalcomponentanalysis"",","""principalcomponentanalysis"",",4
"""soilerosion"",","""soilerosion"",",4
"""survey"",","""survey"",",4
"""sustainableintensification"",","""sustainableintensification"",",4
"""traditionalknowledge"",","""traditionalknowledge"",",4
"""adaptation"",","""adaptation"",",3
"""agro-biodiversity"",","""agro-biodiversity"",",3
"""asia"",","""asia"",",3
"""clusteranalysis"",","""clusteranalysis"",",3
"""conservationagriculture"",","""conservationagriculture"",",3
"""cost-benefitanalysis"",","""cost-benefitanalysis"",",3
"""croppingpattern"",","""croppingpattern"",",3
"""croppingsystem"",","""croppingsystem"",",3
"""cropwildrelative"",","""cropwildrelative"",",3
"""domestication"",","""domestication"",",3
"""fertilizer"",","""fertilizer"",",3
"""forest"",","""forest"",",3
"""forestry"",","""forestry"",",3
"""geneticerosion"",","""geneticerosion"",",3
"""himalayanregion"",","""himalayanregion"",",3
"""insituconservation"",","""insituconservation"",",3
"""landconsolidation"",","""landconsolidation"",",3
"""landdegradation"",","""landdegradation"",",3
"""medicinalplants"",","""medicinalplants"",",3
"""minimumtillage"",","""minimumtillage"",",3
"""mountains"",","""mountains"",",3
"""multifunctionalagriculture"",","""multifunctionalagriculture"",",3
"""pakistan"",","""pakistan"",",3
"""participatoryplantbreeding"",","""participatoryplantbreeding"",",3
"""production"",","""production"",",3
"""productivity"",","""productivity"",",3
"""ruraldevelopment"",","""ruraldevelopment"",",3
"""soilfertility"",","""soilfertility"",",3
"""speciesdiversity"",","""speciesdiversity"",",3
"""structure"",","""structure"",",3
"""tibet"",","""tibet"",",3
"""traditionalagriculture"",","""traditionalagriculture"",",3
"""traditionalecologicalknowledge"",","""traditionalecologicalknowledge"",",3
"""watershed"",","""watershed"",",3
"""wildedibleplants"",","""wildedibleplants"",",3
"""yield"",","""yield"",",3
"""agriculturallandscape"",","""agriculturallandscape"",",2
"""agriculturalpractices"",","""agriculturalpractices"",",2
"""agro-ecosystem"",","""agro-ecosystem"",",2
"""agrodiversity"",","""agrodiversity"",",2
"""agroecosystem"",","""agroecosystem"",",2
"""arsenic"",","""arsenic"",",2
"""benefitcostratio"",","""benefitcostratio"",",2
"""biologicalcontrol"",","""biologicalcontrol"",",2
"""breeding"",","""breeding"",",2
"""cashcrop"",","""cashcrop"",",2
"""certification"",","""certification"",",2
"""chittagonghilltracts"",","""chittagonghilltracts"",",2
"""cicerarietinum"",","""cicerarietinum"",",2
"""conservationtillage"",","""conservationtillage"",",2
