"","word","freq"
"""china"",","""china"",",53
"""foodsecurity"",","""foodsecurity"",",43
"""nepal"",","""nepal"",",40
"""india"",","""india"",",37
"""climatechange"",","""climatechange"",",36
"""agrobiodiversity"",","""agrobiodiversity"",",34
"""agriculture"",","""agriculture"",",33
"""conservation"",","""conservation"",",25
"""geneticdiversity"",","""geneticdiversity"",",24
"""rice"",","""rice"",",22
"""sustainability"",","""sustainability"",",22
"""agribusiness"",","""agribusiness"",",20
"""biodiversity"",","""biodiversity"",",20
"""cropdiversity"",","""cropdiversity"",",18
"""landuse"",","""landuse"",",18
"""himalaya"",","""himalaya"",",15
"""sustainabledevelopment"",","""sustainabledevelopment"",",15
"""ecosystemservices"",","""ecosystemservices"",",14
"""wheat"",","""wheat"",",13
"""bangladesh"",","""bangladesh"",",12
"""intercropping"",","""intercropping"",",12
"""sustainableagriculture"",","""sustainableagriculture"",",12
"""adaptation"",","""adaptation"",",11
"""ethnobotany"",","""ethnobotany"",",11
"""landraces"",","""landraces"",",11
"""livelihood"",","""livelihood"",",11
"""maize"",","""maize"",",11
"""sustainableintensification"",","""sustainableintensification"",",11
"""agroforestry"",","""agroforestry"",",10
"""pakistan"",","""pakistan"",",10
"""yield"",","""yield"",",10
"""diversity"",","""diversity"",",9
"""energy"",","""energy"",",9
"""livestock"",","""livestock"",",9
"""traditionalknowledge"",","""traditionalknowledge"",",9
"""adoption"",","""adoption"",",8
"""conservationagriculture"",","""conservationagriculture"",",8
"""on-farmconservation"",","""on-farmconservation"",",8
"""populationstructure"",","""populationstructure"",",8
"""xishuangbanna"",","""xishuangbanna"",",8
"""economics"",","""economics"",",7
"""integratedfarmingsystem"",","""integratedfarmingsystem"",",7
"""plantgeneticresources"",","""plantgeneticresources"",",7
"""resilience"",","""resilience"",",7
"""yunnan"",","""yunnan"",",7
"""agritourism"",","""agritourism"",",6
"""cropimprovement"",","""cropimprovement"",",6
"""domestication"",","""domestication"",",6
"""ecologicalagriculture"",","""ecologicalagriculture"",",6
"""farmingsystems"",","""farmingsystems"",",6
"""forest"",","""forest"",",6
"""gender"",","""gender"",",6
"""organicfarming"",","""organicfarming"",",6
"""principalcomponentanalysis"",","""principalcomponentanalysis"",",6
"""traditionalagriculture"",","""traditionalagriculture"",",6
"""agriculturalbiodiversity"",","""agriculturalbiodiversity"",",5
"""asia"",","""asia"",",5
"""bigdata"",","""bigdata"",",5
"""carbonsequestration"",","""carbonsequestration"",",5
"""clusteranalysis"",","""clusteranalysis"",",5
"""conservationtillage"",","""conservationtillage"",",5
"""croppingsystem"",","""croppingsystem"",",5
"""cropproduction"",","""cropproduction"",",5
"""dietarydiversity"",","""dietarydiversity"",",5
"""ecosystemservice"",","""ecosystemservice"",",5
"""germplasm"",","""germplasm"",",5
"""himalayas"",","""himalayas"",",5
"""homegarden"",","""homegarden"",",5
"""homegardens"",","""homegardens"",",5
"""indigenousknowledge"",","""indigenousknowledge"",",5
"""juglansregia"",","""juglansregia"",",5
"""landconsolidation"",","""landconsolidation"",",5
"""legumes"",","""legumes"",",5
"""microsatellites"",","""microsatellites"",",5
"""nutrition"",","""nutrition"",",5
"""oryzasativa"",","""oryzasativa"",",5
"""productivity"",","""productivity"",",5
"""ruraldevelopment"",","""ruraldevelopment"",",5
"""shiftingcultivation"",","""shiftingcultivation"",",5
"""southasia"",","""southasia"",",5
"""agriculturalintensification"",","""agriculturalintensification"",",4
"""agro-biodiversity"",","""agro-biodiversity"",",4
"""agrodiversity"",","""agrodiversity"",",4
"""biologicalcontrol"",","""biologicalcontrol"",",4
"""breeding"",","""breeding"",",4
"""certification"",","""certification"",",4
"""drought"",","""drought"",",4
"""foodsafety"",","""foodsafety"",",4
"""geneticerosion"",","""geneticerosion"",",4
"""geneticresources"",","""geneticresources"",",4
"""governance"",","""governance"",",4
"""growth"",","""growth"",",4
"""insituconservation"",","""insituconservation"",",4
"""irrigation"",","""irrigation"",",4
"""landabandonment"",","""landabandonment"",",4
"""landdegradation"",","""landdegradation"",",4
"""landrace"",","""landrace"",",4
"""landtenure"",","""landtenure"",",4
"""livelihoods"",","""livelihoods"",",4
"""medicinalplants"",","""medicinalplants"",",4
"""migration"",","""migration"",",4
"""multifunctionalagriculture"",","""multifunctionalagriculture"",",4
"""naturalenemies"",","""naturalenemies"",",4
"""northeastindia"",","""northeastindia"",",4
"""optimization"",","""optimization"",",4
"""phosphorus"",","""phosphorus"",",4
"""residuemanagement"",","""residuemanagement"",",4
"""rubber"",","""rubber"",",4
"""smallholder"",","""smallholder"",",4
"""soilerosion"",","""soilerosion"",",4
"""soilfertility"",","""soilfertility"",",4
"""soilquality"",","""soilquality"",",4
"""speciesdiversity"",","""speciesdiversity"",",4
"""survey"",","""survey"",",4
