"","AG","BD","GD","SD","SU","RD","AB","SO","CC","LV","CN","FS","EC","ES","AD","AN","AT","GE","CH","GN","ER","PH","PO","TK","PA","MR","AY","MB","AI","LU","WT","EN"
"AG",1,0.997862831079502,0.986161662215625,0.987649043480032,0.987737551370602,0.928846872095787,0.921634006827776,0.986772503834318,0.994144580140244,0.887410751104936,0.972273375900731,0.991211620276081,0.971091230561156,0.976366915150814,0.957556390775791,0.935627338440883,0.943072100166428,0.910553428720116,0.924277996070596,0.915421035674663,0.921006761800113,0.941608248721934,0.864970321758404,0.962952094976052,0.943760504562807,0.945398854774278,0.970949643521348,0.889980525935933,0.958625636101612,0.990904226528155,0.601726810856835,0.983355441698176
"BD",0.997862831079502,1,0.97424274351461,0.975721498397578,0.975847320291305,0.903947154910284,0.898443901554764,0.974742795715038,0.985389647393326,0.862580735578445,0.955519223047428,0.980939598666708,0.955245843741901,0.961638486356491,0.93776728479087,0.913292562373187,0.919720782684171,0.882732635648132,0.898254916478684,0.889566563192134,0.894185830005127,0.920367563921304,0.832594228327154,0.943280035621875,0.920918989200034,0.922448591360291,0.953814620893294,0.860454615946211,0.938434361932461,0.980194953073868,0.594638190067148,0.970013409113268
"GD",0.986161662215625,0.97424274351461,1,0.999396489152863,0.99961837702899,0.97704278282766,0.968565546480797,0.997053167670585,0.998187834020557,0.944658088086039,0.997084436381199,0.998807506743486,0.993183017214373,0.996962917639048,0.991675795198545,0.978453714972706,0.983341866525118,0.963293480966856,0.968132106035278,0.964621496382541,0.963775813926921,0.978380249532829,0.915263757494013,0.990276423702819,0.984631731315876,0.983105775957466,0.996434350729654,0.943392968227536,0.991383583604327,0.998130709202289,0.640978396862039,0.998810135951784
"SD",0.987649043480032,0.975721498397578,0.999396489152863,1,0.99994067736886,0.974894611893915,0.967975120225243,0.997068815469836,0.998719813341014,0.935679065187656,0.996490850387818,0.99876862380221,0.991242714130584,0.995141478676872,0.989920151296225,0.974145536862959,0.982664922340717,0.96067895337641,0.967156386494552,0.960626234466127,0.964383604892173,0.974855594757068,0.917295643989851,0.9915246867281,0.983202405299715,0.982562971283044,0.996425495968626,0.94076763871773,0.990787702986294,0.998694398303697,0.616117388299984,0.998271012962147
"SU",0.987737551370602,0.975847320291305,0.99961837702899,0.99994067736886,1,0.975161967993223,0.966850476821912,0.997687087989528,0.998791413691801,0.938170823166543,0.996733699253447,0.999151807431529,0.992397164978756,0.996009635260906,0.990385890305223,0.975555456405374,0.982923780716941,0.961671655379995,0.968124117662234,0.962222881335541,0.965020065523237,0.976508198321479,0.918260032187283,0.991539413383139,0.983545527893555,0.983066711938269,0.996371970953834,0.942452895249952,0.991032108451502,0.9990001210861,0.624175457020015,0.99877989969596
"RD",0.928846872095787,0.903947154910284,0.97704278282766,0.974894611893915,0.975161967993223,1,0.988348204145149,0.97179752583152,0.963342390434625,0.976138611702883,0.989582899366103,0.968846842293007,0.982607871142525,0.98340495948762,0.99588422186295,0.993674893775581,0.99778682128566,0.994716950163443,0.990032937838667,0.990503755622259,0.986230423891095,0.987504207318839,0.954014480241704,0.989270529199228,0.998717127372,0.995086358126573,0.989998617574713,0.978913843980766,0.995161408050574,0.968565254086701,0.648922981194934,0.979245054638883
"AB",0.921634006827776,0.898443901554764,0.968565546480797,0.967975120225243,0.966850476821912,0.988348204145149,1,0.95338098654548,0.955873828848787,0.943159480947149,0.977912619945417,0.956251793412669,0.957900825413114,0.964595082934735,0.981927738644381,0.968057561507335,0.982322331971307,0.968615846933323,0.960030973487129,0.958157575465505,0.957079699010605,0.95512521827002,0.910494562090926,0.974355613834567,0.984366067133639,0.974570075303376,0.982031382044981,0.93819100680404,0.981513320267231,0.955259257832918,0.568390262257908,0.964078922388917
"SO",0.986772503834318,0.974742795715038,0.997053167670585,0.997068815469836,0.997687087989528,0.97179752583152,0.95338098654548,1,0.996610872813225,0.942580932519898,0.994992996287882,0.998957134447044,0.996449537740092,0.997478740868645,0.988902482665118,0.978347033697481,0.982055439880278,0.96456989105499,0.973660876818567,0.967842489101013,0.970618144881592,0.982903308978679,0.930529879332892,0.991580802236392,0.9819581466587,0.98467400544853,0.993047181579499,0.952056389367551,0.989754038178572,0.999290709755326,0.649275774664997,0.999177885934065
"CC",0.994144580140244,0.985389647393326,0.998187834020557,0.998719813341014,0.998791413691801,0.963342390434625,0.955873828848787,0.996610872813225,1,0.925315130303358,0.991672944373322,0.999237802555254,0.988125051875881,0.992459489219318,0.98276582918468,0.965684172453458,0.972795882091859,0.947868131437626,0.956233239721204,0.949831925202671,0.95281178782834,0.967872350348976,0.902203411147601,0.984705257643418,0.973613665839084,0.973439173983456,0.99102506427841,0.92766078681118,0.983351723158003,0.998903705707602,0.620615181979047,0.996478778364839
"LV",0.887410751104936,0.862580735578445,0.944658088086039,0.935679065187656,0.938170823166543,0.976138611702883,0.943159480947149,0.942580932519898,0.925315130303358,1,0.958527263830824,0.936510910220997,0.966408837591596,0.963022373663986,0.971683209598626,0.989244941557545,0.969052255181593,0.982109584654432,0.971880081372169,0.988703124503972,0.959872807441775,0.98355194362729,0.930596217113338,0.951050527976267,0.972999172327091,0.968860902841057,0.953785666335937,0.975853527544819,0.965058040215295,0.933684517402208,0.793883059224815,0.950489526471322
