"","Auth_keywords"
"1","Land management; Land use; Mountain environment; Nepal"
"2","disease; diversity; interaction; stability; subsistence agriculture; sustainable productivity; Varietal mixtures; yield"
"3","China; Crop improvement; Genetic resources; Survey; Utilization"
"4","Bhutan; Magnaporthe grisea; MGR-fingerprinting; Oryza sativa; Pyricularia grisea; Traditional farming system; Yield losses"
"5","Carrying capacity; Land degradation; Land resources; Livestock; Nepal; TDN demand and supply"
"6","Farming systems; N budget; Nepal"
"7","Draught animal power (DAP); Draught animals; Traditional agriculture; Transformed agriculture"
"8","Himalaya; Indicators of agrobiodiversity; Sustainable development; Traditional agroecosystems"
"9","Biosphere reserve; Conservation policy-people conflicts; Himalaya"
"10","Buffalo; Cow; Dairy production; Dynamics; Milk production; Population"
"11","Cost; Energy; Farming systems; Maize; Wheat"
"12","China; Colocasia esculenta; Genetic diversity; Taro"
"13","Agroforestry's impact; Benefit-cost analysis; Farm income; Fodder trees; Land degradation; Nepal; Sericulture; Soil fertility"
"14","Comparative economic analysis; Farming systems; Foodgrain; Himalaya; Hindu Kush; Horticulture; Livestock"
"15","Arachis hypogea; Cajanus cajan; Cicer arietinum; Glycine max; Lathyrus spp.; Lens culinaris; Nitrogen fixation; Vicia faba; Vigna mungo"
"16","Agroforesty; Bio-composting; Land use; N2-fixing tree; Nutrient loss; Overland flow; Soil erosion; Watershed"
"17","Cultural landscapes; Land-cover change; Land-use patterns; Mountains; Photo interpretation"
"18","Agroforestry adoption; Hill farming system; Logistic regression; Nepal; Subsistence farm households"
"19","Draught animal power (DAP); Greater Himalayas; Management; Middle Himalayas; Shivaliks; Traditional; Transformed"
"20","China; Ecological agriculture; Ecological economics; Sustainability; Traditional agriculture"
"21","Asia; Livestock; Mixed farming; Production systems"
"22","Biodiversity deployment; Indigenous knowledge; Intercropping; On-farm conservation; Oryza sativa"
"23","Agroforestry; China; Northwestern shandong; Profitability; Sandy soils; Sustainable use"
"24","Folk soil taxonomy; Paddy landraces; Small holder farmers; Traditional knowledge"
"25","China; Fallow forests; Hani; House gardens; Plant transfer; Smallholder farmers; Xishuangbanna"
"26","Agricultural development; In situ agrobiodiversity conservation; Nepal; Risk; Switzerland; Turkey"
"27","Agrobiodiversity; Amorphophallus; Conservation and promotion; Musella; Paris; Strategy; Wild tea; Yunnan"
"28","China; Conservation; Ethnobotany; Genetic erosion; Rice biodiversity"
"29","Intercropping; Interspecific competition; Interspecific facilitation; Recovery; Yield advantage"
"30","Agricultural intensification; Phosphorus; Potassium; Soil fertility"
"31","Conservation; Ethnobotany; Lisu people; Medicinal plants; Nujiang; Survey"
"32","Conservation; Gene flow; Hybrid; Oryza sativa; Rice variety; SSR (simple sequence repeat); Transgene escape"
"33","fingerprinting; genetic relationship; RAPD; relatives; Rosa roxburghii"
"34","Bangladesh; Chittagong Hill Tracts; Determinants of land use; Land-use change; Land-use characterization"
"35","Erosion; Himalaya; Land use; Nepal; SOC; SOC stock; Watershed"
"36","Benefit cost ratio; Integrated farming; Runoff recycling; Water yield-storage capacity ratio"
"37","Blackgram; Fertilizer; Finger-millet; Maize; Manure; Nitrogen; Upland rice"
"38","Central Himalaya; Crop diversity and productivity; Forest; Land-use change; Manure; Run-off; Soil loss; Sustainable livelihood"
"39","Apis laboriosa; Bee cliffs; Honey bees; Kaski; Nepal; Nesting sites; Population status"
"40","Central India; Cropping systems; Economics; Energy"
"41","Corn mint oil; Essential oil composition; Lamiaceae; Mentha arvensis f. piperascens; Menthol; Menthone"
"42","Agrobiodiversity; China; Expert farmer; Fallow agroecosystems; On-farm conservation; Socioeconomic development"
"43","Agro-biodiversity; Bangladesh; Dietary diversity; Dietary patterns; Dietary surveys; Plant genetic resources; Rice"
"44","folk taxonomy; Kolli Hills; Malayali tribal people; minor millets"
"45","Agrobiodiversity; Bangladesh; Gender; Local varieties; Seed management; Survey"
"46","Agriculture development; Agrobiodiversity; Conservation; Nepal"
"47","Green food; Green food base; Landscape ecological planning; Principles; Steps"
"48","Assessment; Dynamics; Eastern Himalayas; Operation; Socio-economy; Structure; Subtropical production system; System components"
"49","Agricultural intensification; Chinese Ecological Agriculture; New strategy; Sustainable agriculture"
"50","Agricultural systems; Bangladesh; Chittagong Hill Tracts; Determinants of agricultural systems; Shifting agriculture"
"51","Agroforestry; Biomass; LAR; NAR; RGR; Seedling growth; Transplantation"
"52","Agriculture; Geographic information systems; Land use; Non-timber forest products; Northwest Yunnan; Participatory rural appraisal; Tibet; Verticality"
"53","Crop diversification; Flower; Fruit; Intensification of cropping systems; Vegetable"
"54","Albrect Daniel Thaer; Carl Sprengel; E.B. Balfour; F.H. King; Humus theory of plant nutrition; Indore composting; J.I. Rodale; Justus von; Liebig; Organic agriculture; The law of return; USDA Certified Organic"
"55","In situ (on-farm) conservation; Landraces; Plant genetic diversity; Traditional knowledge"
"56","Conservation tillage; Erosion; Himalayan region; Mixed cropping; Nepal"
"57","Agricultural pattern; Contemporary agriculture; Conventional agriculture; New-type agriculture; Oil agriculture"
"58","Energy conservation; India; Optimising model; Smallholder agriculture"
"59","Buckwheat; Fagopyrum esculentum; Multivariate analysis"
"60","Focus Group Discussion; Home garden; Mid-hill; Species diversity; Terai"
"61","Agrobiodiversity; Agroecosystem; Biodiversity; Expert farmer; Household socio-economics characters; On-farm conservation; Xishuangbanna"
"62","China; GIS; Grain-for-Green Programme; Land use; Sloping farmland; Soil erosion; Yangtze River"
"63","Agroforestry; Biodiversity; Farm trees; Nepal; Subsistence agriculture"
"64","Cruciferous vegetables; Environmental impact quotient; Highland agroecosystems; Insecticide alternatives; Lepidoptera; Natural enemies"
"65","Agro-morpological diversity; Genetic diversity; High-altitude rice; Microsatellites; Nepal"
"66","Canal ratio; Irrigation intensity; Irrigation scheduling; Tharigad watershed"
"67","Livestock system; Nutrient supply; Pakistan; Productivity; Smallholder"
"68","Accessions; Agrobotanical characters; Mucuna pruriens; Velvet bean"
"69","Animal husbandry practices; Hill farming; Small farmers"
"70","Agrobiodiversity; Alder-upland rice; Capital assets; Chinese fir; Sustainable rural development; Traditional farming; Traditional knowledge; Yunnan"
"71","Diet breadth; Grazing; Himalaya; Indigenous knowledge; Stall feeding; Sustainable livelihoods; Traditional land management"
"72","Economics; Energy; Himalaya; Introduced crops; Land use; Mountains; Sustainable land-use development; Traditional crops"
"73","Mountain pastures; Offtake; Resource use; Rural development; Semi-arid"
"74","Agricultural biodiversity; Landraces; Modern variety; Nepal; On-farm conservation; Rice; Varietal diversity"
"75","Aerial photo interpretation; Drainage density; Geographic information system; Hypsometric analysis; Hypsometric curve; Hypsometric integral; Land degradation; Overland flow"
"76","Cropping pattern; Fodder; Grazing; Irrigation; Land-man ratio; Livestock"
"77","Integrated agriculture-aquaculture; Nutrient accumulation; Vietnam; Water use efficiency"
"78","Agricultural biodiversity; Bivariate probit; In situ conservation; Nepal; Rice"
"79","Age variation; Apodemus agrarius; Regional variation; Reproductive parameters; Temporal variation"
"80","Agricultural transitions; Dietary transitions; Political ecology; Rural India"
"81","Crop genetic diversity; Himalayan agroecosystems; In situ conservation on-farm; Sustainable agriculture"
"82","Genetic diversity; Landraces; Nepal; Oryza sativa; Rice"
"83","Dry lands; Millet diversity; Seed systems; Variety change"
"84","Agrobiodiversity; Bangladesh; Gendered divisions of labour; Seed management; Seed saving"
"85","Land consolidation; Land fragmentation; Nepal; Non-statutory measures; Statutory measures"
"86","Growth; Methane; Organic carbon; Photosynthesis; Rice"
"87","Agroforestry; Composition; Conservation; Ex situ; Patch; Structure; Tropical"
"88","Agrobiodiversity; Gender; India; Institutions; Reciprocity; Reputation; Trust"
"89","Blossom date; Nutrition quality; Radish; Raphanus sativus"
"90","Agroforestry; China; Contour hedgerow intercropping; Soil and water conservation; Subtropical mountains; Sustainable agriculture"
"91","Agricultural productivity; China; Crop diversity; Diversity index; Total factor productivity; Wheat"
"92","eco-geochemical assessment, agroecosystem, Cd, Chengdu economic region"
"93","Diversity; Economic analysis; Gram; Pulses; Weighted average varietal age"
"94","Conservation tillage; Input energy; Minimum tillage; Output energy; Soybean based cropping system; Zero tillage"
"95","Agronomic traits; Aromatic rice; Heterosis; Inbreeding depression; Induced mutants"
"96","Fodder availability; Livestock system; Pakistan; Small-holder; Survey"
"97","Apis cerana; China; Morphometric analysis"
"98","Benefit cost ratio; Integrated farming; On-farm reservoir; Pay back period; Rainfed ecosystem; Weir height"
"99","Competitiveness of agro-produce; New livestock revolution; Self-reliance on grain; Sustainable development"
"100","Agricultural sustainability in developing countries; Evergreen revolution; Reconciling agriculture and ecosystems"
"101","Commercialisation; Cultivated species; Harvested wild species; in situ conservation; Indigenous knowledge; Traditional regulations"
"102","Poverty; Socio-economic constraint; Subsistence"
"103","Agriculture; Biodiversity; Energy; Nutrition; Uttarakhand"
"104","Arsenic phytotoxicity; Food security; Irrigation; Soil contamination; Yield reduction"
"105","Agriculture; Forestry; Integration; Land use system; Mountains; Traditional knowledge"
"106","Agriculture; Agrobiodiversity; Conservation; Himalaya; India"
"107","3M; Genetic resources policy; GRPI; Participatory processes"
"108","Agricultural practices; Contingent valuation; Cost-benefit analysis; Environmental effects; Land use; Socioeconomics"
