"","id","Year","aff"
"1",1,1995,"Kingdom"
"2",2,1995,"China,States"
"3",3,1996,"Thailand"
"4",4,1996,"Kingdom,Kingdom,India"
"5",5,1997,"Philippines"
"6",6,1997,"India,India"
"7",7,1997,"Bangladesh,Bangladesh,Bangladesh,Bangladesh"
"8",8,1998,"China,China"
"9",10,1999,"China"
"10",11,1999,"Nepal,India"
"11",12,2000,"Bhutan,Switzerland,Philippines"
"12",13,2000,"Thailand"
"13",14,2000,"Kingdom,Nepal,Nepal,Kingdom"
"14",16,2000,"States,States"
"15",17,2000,"China"
"16",18,2000,"Nepal,India,Nepal"
"17",19,2001,"India"
"18",20,2001,"India,India,India"
"19",21,2001,"Nepal,India,Nepal,India"
"20",22,2001,"India"
"21",23,2001,"China,Italy"
"22",24,2001,"Thailand"
"23",25,2001,"Nepal"
"24",26,2001,"Nepal,Australia,Australia"
"25",27,2001,"India"
"26",29,2001,"Germany"
"27",30,2002,"Thailand,States,Nepal"
"28",31,2002,"Nepal,India,India"
"29",32,2002,"Australia"
"30",33,2002,"Canada"
"31",35,2002,"Kenya,Malaysia,Kingdom"
"32",36,2003,"China,China"
"33",37,2003,"China"
"34",38,2003,"India"
"35",39,2003,"China,States"
"36",40,2003,"India"
"37",41,2003,"Australia"
"38",42,2003,"China,China,China,China,Zealand"
"39",43,2003,"China,States"
"40",44,2003,"China"
"41",45,2004,"Canada,Canada,Nepal"
"42",46,2004,"China"
"43",47,2004,"China,China"
"44",48,2004,"China,China"
"45",49,2004,"Thailand"
"46",50,2004,"Norway,Nepal,Norway,Norway"
"47",51,2004,"Nepal,Kingdom"
"48",52,2004,"India"
"49",53,2004,"Kingdom,Nepal,Nepal"
"50",55,2004,"India,India,India,India"
"51",56,2004,"Bhutan,Kingdom,Germany"
"52",57,2004,"Nepal"
"53",58,2005,"States,Italy"
"54",59,2005,"India,India"
"55",60,2005,"India,India"
"56",61,2005,"China,China"
"57",62,2005,"Italy,Italy,Bangladesh,Italy,Italy,Italy"
"58",63,2005,"India"
"59",64,2005,"States,States"
"60",65,2005,"India,India"
"61",66,2005,"Australia"
"62",67,2005,"China,China"
"63",68,2005,"India,India,India,India"
"64",69,2005,"China"
"65",70,2005,"Kingdom,Nepal,Nepal,Bangladesh,Bangladesh,Nepal"
"66",71,2005,"Thailand,Nepal"
"67",72,2005,"India"
"68",74,2005,"States"
"69",75,2005,"Thailand"
"70",76,2006,"States"
"71",77,2006,"India,India,India,India"
"72",78,2006,"China"
"73",79,2006,"India"
"74",80,2006,"Nepal,Nepal"
"75",81,2006,"China"
"76",82,2006,"Kingdom,Kingdom,Kingdom"
"77",84,2006,"India,India"
"78",85,2006,"Sweden,Nepal,Sweden"
"79",86,2006,"China,China"
"80",87,2006,"Australia"
"81",88,2006,"China,Austria,China,China"
"82",89,2006,"Nepal"
"83",90,2006,"Kingdom,Nepal,Nepal,Nepal"
"84",91,2006,"States"
"85",92,2006,"Nepal,Kingdom,Italy,Nepal"
"86",93,2006,"India,India"
"87",94,2006,"Kingdom,Kingdom,Spain,Pakistan,Pakistan"
"88",95,2006,"States"
"89",98,2007,"India"
"90",99,2007,"India,India,India,India"
"91",100,2007,"Kingdom,Pakistan,Pakistan"
"92",101,2007,"India"
"93",102,2007,"Kingdom,China,Philippines"
"94",103,2007,"India,India,India"
"95",104,2007,"Germany,India,India,India"
"96",105,2007,"Kingdom,Pakistan,Kingdom,Australia,Pakistan,Kingdom"
"97",106,2007,"Nepal,Kingdom,Nepal,Italy"
"98",107,2007,"Nepal,Norway,Norway"
"99",108,2007,"Norway,India"
"100",109,2007,"Nam,Nam,Netherlands,Netherlands"
"101",110,2007,"(IFPRI),Nepal,International"
"102",111,2007,"China,China"
"103",112,2007,"India"
"104",113,2007,"Canada"
"105",114,2007,"India"
"106",115,2007,"Nepal"
"107",116,2007,"States"
"108",117,2007,"States"
