"","keyid","Year","aff"
"1",1,2011,"India"
"2",2,2016,"Nigeria,Australia,Australia,Kingdom,Kingdom,Japan,China,Brazil,States,Germany,Italy,States,States,Australia,Japan,States,Kingdom,Kingdom,States,Malaysia,States,Australia,Sweden,States,Italy,India,Japan"
"3",3,2014,"India,Ethiopia,Ethiopia,India,Nepal,Cambodia,India,Pakistan,States,India"
"4",4,2016,"India,India,India"
"5",5,2006,"Nepal"
"6",6,2016,"Australia,Australia"
"7",7,2009,"Nepal,Taiwan,Taiwan,Nepal"
"8",8,2019,"Nepal"
"9",9,2019,"India,India"
"10",10,2017,"Pakistan,Pakistan,Pakistan"
"11",11,2019,"India,India,India"
"12",12,2017,"Pakistan,Pakistan,Pakistan,Turkey"
"13",13,2013,"States,States,China,China,States,States"
"14",14,2011,"States,Bangladesh,States,States,India,Bangladesh,States"
"15",15,2007,"India"
"16",16,2017,"Pakistan,Pakistan"
"17",17,2018,"Pakistan,Pakistan,Pakistan"
"18",18,2014,"Pakistan"
"19",19,2018,"Pakistan"
"20",20,2018,"Pakistan,Pakistan,Pakistan"
"21",21,2019,"China,Pakistan"
"22",22,2019,"Bangladesh,Malaysia,Bangladesh,Bangladesh,Bangladesh,Malaysia"
"23",23,2017,"Singapore,Philippines,Myanmar,Indonesia,Indonesia"
"24",24,2018,"Bangladesh,Japan"
"25",25,2019,"Switzerland,Switzerland,Italy"
"26",26,2016,"India"
"27",27,2014,"Bangladesh,States"
"28",28,2017,"Pakistan,Pakistan,Pakistan,States"
"29",29,2018,"China,China,Arabia"
"30",30,1995,"Kingdom"
"31",31,2020,"Netherlands,Netherlands,Nepal,Argentina,Netherlands,States"
"32",32,2018,"Netherlands,Netherlands,Nepal,Argentina"
"33",33,2015,"Pakistan"
"34",34,2015,"Germany"
"35",35,2016,"India"
"36",36,2017,"India"
"37",37,2018,"Singapore,India"
"38",38,2015,"India"
"39",39,2019,"Pakistan,Pakistan,Pakistan,Pakistan"
"40",40,2017,"States,States,Azerbaijan,Kyrgyzstan,Georgia,Azerbaijan,Georgia"
"41",41,2018,"Nepal,Nepal,Nepal,Nepal"
"42",43,2019,"India"
"43",44,2016,"Pakistan,Pakistan,Arabia,Pakistan,Pakistan"
"44",45,2017,"China"
"45",46,2006,"Nepal,Nepal"
"46",47,2019,"India,India"
"47",48,2019,"Myanmar"
"48",49,2005,"India,India,India,India"
"49",50,2018,"Pakistan,Pakistan"
"50",51,2015,"Egypt,India"
"51",52,2020,"India,India,India,India,India,India,Italy"
"52",53,2015,"States,China,India,China"
"53",54,2015,"Pakistan,Australia"
"54",55,2006,"States"
"55",56,2019,"China,China,China"
"56",57,2013,"Arabia,Emirates,States"
"57",58,2004,"Bhutan,Kingdom,Germany"
