"","word","freq"
"""china"",","""china"",",108
"""india"",","""india"",",75
"""agriculture"",","""agriculture"",",59
"""biodiversity"",","""biodiversity"",",44
"""climatechange"",","""climatechange"",",44
"""agriculturalland"",","""agriculturalland"",",37
"""foodsecurity"",","""foodsecurity"",",37
"""crops"",","""crops"",",29
"""cropyield"",","""cropyield"",",29
"""human"",","""human"",",29
"""sustainabledevelopment"",","""sustainabledevelopment"",",29
"""cropproduction"",","""cropproduction"",",28
"""alternativeagriculture"",","""alternativeagriculture"",",27
"""article"",","""article"",",27
"""cultivation"",","""cultivation"",",27
"""nepal"",","""nepal"",",27
"""farmingsystem"",","""farmingsystem"",",25
"""triticumaestivum"",","""triticumaestivum"",",25
"""foodsupply"",","""foodsupply"",",24
"""landuse"",","""landuse"",",23
"""agriculturalproduction"",","""agriculturalproduction"",",22
"""ecosystems"",","""ecosystems"",",21
"""crop"",","""crop"",",20
"""ecosystemservice"",","""ecosystemservice"",",20
"""female"",","""female"",",20
"""himalayas"",","""himalayas"",",20
"""procedures"",","""procedures"",",20
"""sustainability"",","""sustainability"",",20
"""zeamays"",","""zeamays"",",20
"""genetics"",","""genetics"",",19
"""male"",","""male"",",19
"""crops,agricultural"",","""crops,agricultural"",",18
"""ecology"",","""ecology"",",18
"""environmentalprotection"",","""environmentalprotection"",",18
"""rice"",","""rice"",",18
"""wheat"",","""wheat"",",18
"""humans"",","""humans"",",17
"""maize"",","""maize"",",17
"""agriculturaldevelopment"",","""agriculturaldevelopment"",",16
"""cropplant"",","""cropplant"",",16
"""forestry"",","""forestry"",",16
"""agriculturalintensification"",","""agriculturalintensification"",",15
"""agriculturalmanagement"",","""agriculturalmanagement"",",15
"""croppingpractice"",","""croppingpractice"",",15
"""ecosystem"",","""ecosystem"",",15
"""geneticvariation"",","""geneticvariation"",",15
"""legume"",","""legume"",",15
"""pakistan"",","""pakistan"",",15
"""agriculturalecosystem"",","""agriculturalecosystem"",",14
"""biomass"",","""biomass"",",14
"""decisionmaking"",","""decisionmaking"",",14
"""organiccarbon"",","""organiccarbon"",",14
"""soil"",","""soil"",",14
"""adult"",","""adult"",",13
"""agronomy"",","""agronomy"",",13
"""carbonsequestration"",","""carbonsequestration"",",13
"""economics"",","""economics"",",13
"""landusechange"",","""landusechange"",",13
"""nonhuman"",","""nonhuman"",",13
"""smallholder"",","""smallholder"",",13
"""soils"",","""soils"",",13
"""agroindustry"",","""agroindustry"",",12
"""intercropping"",","""intercropping"",",12
"""millet"",","""millet"",",12
"""speciesdiversity"",","""speciesdiversity"",",12
"""adaptivemanagement"",","""adaptivemanagement"",",11
"""bangladesh"",","""bangladesh"",",11
"""cateringservice"",","""cateringservice"",",11
"""conservation"",","""conservation"",",11
"""plantbreeding"",","""plantbreeding"",",11
"""plants(botany)"",","""plants(botany)"",",11
"""productivity"",","""productivity"",",11
"""agriculturalworker"",","""agriculturalworker"",",10
"""conservationofnaturalresources"",","""conservationofnaturalresources"",",10
"""drought"",","""drought"",",10
"""economicdevelopment"",","""economicdevelopment"",",10
"""fertilizerapplication"",","""fertilizerapplication"",",10
"""growth,developmentandaging"",","""growth,developmentandaging"",",10
"""ruralpopulation"",","""ruralpopulation"",",10
"""animals"",","""animals"",",9
"""economicanalysis"",","""economicanalysis"",",9
"""fabaceae"",","""fabaceae"",",9
"""managementpractice"",","""managementpractice"",",9
"""nutritionalstatus"",","""nutritionalstatus"",",9
"""priorityjournal"",","""priorityjournal"",",9
"""regressionanalysis"",","""regressionanalysis"",",9
"""rubber"",","""rubber"",",9
"""ruralarea"",","""ruralarea"",",9
"""seed"",","""seed"",",9
"""soilconservation"",","""soilconservation"",",9
"""soilmoisture"",","""soilmoisture"",",9
"""sustainableagriculture"",","""sustainableagriculture"",",9
"""yunnan"",","""yunnan"",",9
"""agriculturalpolicy"",","""agriculturalpolicy"",",8
"""agroforestry"",","""agroforestry"",",8
"""comparativestudy"",","""comparativestudy"",",8
"""cultivar"",","""cultivar"",",8
"""diet"",","""diet"",",8
"""environmentalimpact"",","""environmentalimpact"",",8
"""foodproduction"",","""foodproduction"",",8
"""genotype"",","""genotype"",",8
"""middleaged"",","""middleaged"",",8
"""mountainregion"",","""mountainregion"",",8
"""oryza"",","""oryza"",",8
"""perception"",","""perception"",",8
"""poverty"",","""poverty"",",8
"""remotesensing"",","""remotesensing"",",8
"""soilcarbon"",","""soilcarbon"",",8
"""soilquality"",","""soilquality"",",8
"""spatialdistribution"",","""spatialdistribution"",",8
"""stakeholder"",","""stakeholder"",",8
"""surveys"",","""surveys"",",8
"""traditionalagriculture"",","""traditionalagriculture"",",8
"""adaptation"",","""adaptation"",",7
"""animal"",","""animal"",",7
"""asia"",","""asia"",",7
