"","word","freq"
"""china"",","""china"",",166
"""india"",","""india"",",124
"""agriculture"",","""agriculture"",",98
"""biodiversity"",","""biodiversity"",",92
"""asia"",","""asia"",",66
"""eurasia"",","""eurasia"",",57
"""nepal"",","""nepal"",",57
"""climatechange"",","""climatechange"",",55
"""cultivation"",","""cultivation"",",51
"""farmingsystem"",","""farmingsystem"",",49
"""agriculturalland"",","""agriculturalland"",",47
"""cropproduction"",","""cropproduction"",",47
"""cropyield"",","""cropyield"",",47
"""article"",","""article"",",46
"""crops"",","""crops"",",46
"""foodsecurity"",","""foodsecurity"",",46
"""southasia"",","""southasia"",",44
"""zeamays"",","""zeamays"",",44
"""rice"",","""rice"",",43
"""alternativeagriculture"",","""alternativeagriculture"",",42
"""sustainabledevelopment"",","""sustainabledevelopment"",",42
"""himalayas"",","""himalayas"",",41
"""triticumaestivum"",","""triticumaestivum"",",41
"""human"",","""human"",",40
"""landuse"",","""landuse"",",40
"""agriculturalecosystem"",","""agriculturalecosystem"",",35
"""agriculturalproduction"",","""agriculturalproduction"",",35
"""sustainability"",","""sustainability"",",33
"""forestry"",","""forestry"",",31
"""maize"",","""maize"",",31
"""animalia"",","""animalia"",",30
"""ecosystem"",","""ecosystem"",",30
"""bangladesh"",","""bangladesh"",",29
"""foodsupply"",","""foodsupply"",",29
"""oryzasativa"",","""oryzasativa"",",29
"""agriculturalmanagement"",","""agriculturalmanagement"",",27
"""crop"",","""crop"",",27
"""humans"",","""humans"",",27
"""speciesdiversity"",","""speciesdiversity"",",27
"""agriculturaldevelopment"",","""agriculturaldevelopment"",",26
"""female"",","""female"",",25
"""geneticvariation"",","""geneticvariation"",",25
"""conservation"",","""conservation"",",24
"""ecosystems"",","""ecosystems"",",24
"""agroforestry"",","""agroforestry"",",23
"""croppingpractice"",","""croppingpractice"",",23
"""ecology"",","""ecology"",",23
"""ecosystemservice"",","""ecosystemservice"",",23
"""landusechange"",","""landusechange"",",23
"""male"",","""male"",",23
"""cropplant"",","""cropplant"",",22
