"","aff","n"
"1","(IFPRI)",1
"2","650205",1
"3","Afghanistan",2
"4","Africa",6
"5","Arabia",3
"6","Argentina",2
"7","Assam",1
"8","Australia",80
"9","Austria",1
"10","Azerbaijan",2
"11","Bangladesh",47
"12","Belgium",7
"13","Benin",1
"14","Bhutan",18
"15","Bolivia",1
"16","Brazil",9
"17","Cambodia",2
"18","Canada",33
"19","China",574
"20","Colombia",6
"21","Denmark",8
"22","Egypt",1
"23","Emirates",2
"24","Ethiopia",6
"25","Faso",1
"26","Federation",5
"27","Fiji",1
"28","Finland",4
"29","France",29
"30","Georgia",4
"31","Germany",40
"32","Greece",1
"33","India",616
"34","India.",1
"35","Indonesia",8
"36","International",1
"37","Iran",1
"38","Ireland",4
"39","Italy",39
"40","Japan",31
"41","Japan.",1
"42","Jordan",1
"43","Kenya",13
"44","Kingdom",95
"45","Kong",7
"46","Korea",9
"47","Kyrgyzstan",2
"48","Lanka",3
"49","Laos",2
"50","Malaysia",18
"51","Mexico",7
"52","Mongolia",1
"53","Morocco",1
"54","Mozambique",1
"55","Myanmar",27
"56","Nam",9
"57","Nepal",127
"58","Netherlands",26
"59","Nicaragua",1
"60","Nigeria",1
"61","Norway",9
"62","Oman",3
"63","Pakistan",93
"64","Peru",3
"65","Philippines",16
"66","Poland",2
"67","Portugal",1
"68","Qatar",2
"69","Republic",1
"70","Romania",1
"71","Senegal",2
"72","Singapore",11
"73","Slovenia",1
"74","Spain",17
"75","States",172
"76","Sweden",10
"77","Switzerland",13
"78","Taiwan",5
"79","Tajikistan",1
"80","Thailand",22
"81","Tunisia",2
"82","Turkey",4
"83","Zambia",3
"84","Zealand",3
