"","word","freq"
""""",",""""",",219
"""china"",","""china"",",94
"""india"",","""india"",",61
"""foodsecurity"",","""foodsecurity"",",60
"""agriculture"",","""agriculture"",",54
"""climatechange"",","""climatechange"",",52
"""crops"",","""crops"",",38
"""biodiversity"",","""biodiversity"",",37
"""nepal"",","""nepal"",",37
"""rice"",","""rice"",",33
"""agriculturalland"",","""agriculturalland"",",30
"""sustainabledevelopment"",","""sustainabledevelopment"",",30
"""myanmar"",","""myanmar"",",29
"""cropproduction"",","""cropproduction"",",27
"""sustainability"",","""sustainability"",",27
"""landuse"",","""landuse"",",26
"""human"",","""human"",",25
"""cultivation"",","""cultivation"",",24
"""cropyield"",","""cropyield"",",22
"""farmingsystem"",","""farmingsystem"",",22
"""himalayas"",","""himalayas"",",22
"""agriculturalproduction"",","""agriculturalproduction"",",21
"""article"",","""article"",",21
"""foodsupply"",","""foodsupply"",",21
"""triticumaestivum"",","""triticumaestivum"",",20
"""alternativeagriculture"",","""alternativeagriculture"",",19
"""genetics"",","""genetics"",",19
"""wheat"",","""wheat"",",19
"""agriculturaldevelopment"",","""agriculturaldevelopment"",",18
"""geneticdiversity"",","""geneticdiversity"",",17
"""agricultural"",","""agricultural"",",16
"""crop"",","""crop"",",16
"""ecosystems"",","""ecosystems"",",16
"""intercropping"",","""intercropping"",",16
"""pakistan"",","""pakistan"",",16
"""ecosystemservice"",","""ecosystemservice"",",15
"""adaptation"",","""adaptation"",",14
"""agrobiodiversity"",","""agrobiodiversity"",",14
"""conservation"",","""conservation"",",14
"""environmentalprotection"",","""environmentalprotection"",",14
"""legume"",","""legume"",",14
"""livelihood"",","""livelihood"",",14
"""procedures"",","""procedures"",",14
"""zeamays"",","""zeamays"",",14
"""cropplant"",","""cropplant"",",13
"""humans"",","""humans"",",13
"""productivity"",","""productivity"",",13
"""sustainableagriculture"",","""sustainableagriculture"",",13
"""agriculturalecosystem"",","""agriculturalecosystem"",",12
"""agriculturalintensification"",","""agriculturalintensification"",",12
"""bangladesh"",","""bangladesh"",",12
"""carbonsequestration"",","""carbonsequestration"",",12
"""economicdevelopment"",","""economicdevelopment"",",12
"""forestry"",","""forestry"",",12
"""growth"",","""growth"",",12
"""maize"",","""maize"",",12
"""smallholder"",","""smallholder"",",12
"""agribusiness"",","""agribusiness"",",11
"""agroforestry"",","""agroforestry"",",11
"""agroindustry"",","""agroindustry"",",11
"""cropdiversity"",","""cropdiversity"",",11
"""decisionmaking"",","""decisionmaking"",",11
"""economics"",","""economics"",",11
"""ecosystemservices"",","""ecosystemservices"",",11
"""foodproduction"",","""foodproduction"",",11
"""geneticvariation"",","""geneticvariation"",",11
"""landtenure"",","""landtenure"",",11
"""plants(botany)"",","""plants(botany)"",",11
"""ruralarea"",","""ruralarea"",",11
"""agronomy"",","""agronomy"",",10
"""animals"",","""animals"",",10
"""bigdata"",","""bigdata"",",10
"""biomass"",","""biomass"",",10
"""croppingpractice"",","""croppingpractice"",",10
"""ecology"",","""ecology"",",10
"""nonhuman"",","""nonhuman"",",10
"""soils"",","""soils"",",10
"""traditionalagriculture"",","""traditionalagriculture"",",10
"""cateringservice"",","""cateringservice"",",9
"""female"",","""female"",",9
"""fertilizerapplication"",","""fertilizerapplication"",",9
"""male"",","""male"",",9
"""millet"",","""millet"",",9
"""perception"",","""perception"",",9
"""priorityjournal"",","""priorityjournal"",",9
"""soilquality"",","""soilquality"",",9
"""adaptivemanagement"",","""adaptivemanagement"",",8
"""adoption"",","""adoption"",",8
"""agriculturalpolicy"",","""agriculturalpolicy"",",8
"""agriculturalworker"",","""agriculturalworker"",",8
"""animal"",","""animal"",",8
"""developmentandaging"",","""developmentandaging"",",8
"""economicanalysis"",","""economicanalysis"",",8
"""ecosystem"",","""ecosystem"",",8
"""landusechange"",","""landusechange"",",8
"""nutrition"",","""nutrition"",",8
"""nutritionalstatus"",","""nutritionalstatus"",",8
"""organiccarbon"",","""organiccarbon"",",8
"""rubber"",","""rubber"",",8
"""ruraldevelopment"",","""ruraldevelopment"",",8
"""seed"",","""seed"",",8
"""shiftingcultivation"",","""shiftingcultivation"",",8
"""speciesdiversity"",","""speciesdiversity"",",8
"""stakeholder"",","""stakeholder"",",8
"""uttarakhand"",","""uttarakhand"",",8
"""agriculturalmanagement"",","""agriculturalmanagement"",",7
"""agritourism"",","""agritourism"",",7
"""classification"",","""classification"",",7
"""conservationofnaturalresources"",","""conservationofnaturalresources"",",7
"""drought"",","""drought"",",7
"""ethnobotany"",","""ethnobotany"",",7
"""genome"",","""genome"",",7
"""governanceapproach"",","""governanceapproach"",",7
"""herb"",","""herb"",",7
"""landraces"",","""landraces"",",7
"""livestock"",","""livestock"",",7
"""managementpractice"",","""managementpractice"",",7
"""mountainregion"",","""mountainregion"",",7
"""phosphorus"",","""phosphorus"",",7
"""plant"",","""plant"",",7
"""plantbreeding"",","""plantbreeding"",",7
"""soilconservation"",","""soilconservation"",",7
"""traditionalknowledge"",","""traditionalknowledge"",",7
"""yunnan"",","""yunnan"",",7
"""adult"",","""adult"",",6
"""agrarianchange"",","""agrarianchange"",",6
"""animalia"",","""animalia"",",6
"""biotechnology"",","""biotechnology"",",6
"""carbon"",","""carbon"",",6
"""cereal"",","""cereal"",",6
"""conservationtillage"",","""conservationtillage"",",6
"""croppingsystems"",","""croppingsystems"",",6
"""developingworld"",","""developingworld"",",6
"""domestication"",","""domestication"",",6
"""farms"",","""farms"",",6
"""fertilizers"",","""fertilizers"",",6
"""foodsafety"",","""foodsafety"",",6
"""genotype"",","""genotype"",",6
"""grain(agriculturalproduct)"",","""grain(agriculturalproduct)"",",6
"""himalaya"",","""himalaya"",",6
"""history"",","""history"",",6
"""innovation"",","""innovation"",",6
"""irrigation"",","""irrigation"",",6
"""juglans"",","""juglans"",",6
"""juglansregia"",","""juglansregia"",",6
"""legumes"",","""legumes"",",6
"""nutritionalvalue"",","""nutritionalvalue"",",6
"""nutritivevalue"",","""nutritivevalue"",",6
"""organicfarming"",","""organicfarming"",",6
"""populationstructure"",","""populationstructure"",",6
"""poverty"",","""poverty"",",6
"""regressionanalysis"",","""regressionanalysis"",",6
"""remotesensing"",","""remotesensing"",",6
"""ruralpopulation"",","""ruralpopulation"",",6
"""sikkim"",","""sikkim"",",6
"""soil"",","""soil"",",6
"""soilcarbon"",","""soilcarbon"",",6
"""soilorganicmatter"",","""soilorganicmatter"",",6
"""sustainableintensification"",","""sustainableintensification"",",6
"""tillage"",","""tillage"",",6
"""vulnerability"",","""vulnerability"",",6
"""agriculturalsustainability"",","""agriculturalsustainability"",",5
"""asia"",","""asia"",",5
