"","Combine","n"
"1","",11
"2","agriculture",11
"3","biodiversity",11
"4","china",11
"5","climatechange",11
"6","cropproduction",11
"7","cropyield",11
"8","foodsecurity",11
"9","india",11
"10","agrobiodiversity",10
"11","article",10
"12","conservation",10
"13","crops",10
"14","cultivation",10
"15","foodsupply",10
"16","forestry",10
"17","himalayas",10
"18","human",10
"19","humans",10
"20","maize",10
"21","nepal",10
"22","rice",10
"23","sustainability",10
"24","triticumaestivum",10
"25","zeamays",10
"26","agriculturalecosystem",9
"27","agriculturalland",9
"28","agriculturalmanagement",9
"29","alternativeagriculture",9
"30","economicanalysis",9
"31","economics",9
"32","ecosystem",9
"33","farmingsystem",9
"34","geneticdiversity",9
"35","geneticvariation",9
"36","intercropping",9
"37","landuse",9
"38","populationstructure",9
"39","sustainabledevelopment",9
"40","yunnan",9
"41","agribusiness",8
"42","agricultural",8
"43","agriculturaldevelopment",8
"44","agriculturaleconomics",8
"45","agriculturalintensification",8
"46","agriculturalproduction",8
"47","agriculturalresearch",8
"48","agroforestry",8
"49","cost-benefitanalysis",8
"50","crop",8
"51","cropdiversity",8
"52","croppingpractice",8
"53","cropplant",8
"54","ecology",8
"55","ecosystems",8
"56","ecosystemservice",8
"57","ethnobotany",8
"58","female",8
"59","fertilizerapplication",8
"60","genetics",8
"61","germplasm",8
"62","landusechange",8
"63","livestock",8
"64","nonhuman",8
"65","priorityjournal",8
"66","productivity",8
"67","rubber",8
"68","soilfertility",8
"69","soils",8
"70","speciesdiversity",8
"71","adaptation",7
"72","adult",7
"73","agriculturalpolicy",7
"74","agriculturalworker",7
"75","agroindustry",7
"76","agronomy",7
"77","animalia",7
"78","animals",7
"79","bangladesh",7
"80","cateringservice",7
"81","comparativestudy",7
"82","cultivar",7
"83","decisionmaking",7
"84","developingworld",7
"85","economicdevelopment",7
"86","ecosystemservices",7
"87","environmentalprotection",7
"88","forest",7
"89","geneticvariability",7
"90","governanceapproach",7
"91","livelihood",7
"92","male",7
"93","principalcomponentanalysis",7
"94","procedures",7
"95","profitability",7
"96","ruraldevelopment",7
"97","smallholder",7
"98","soilconservation",7
"99","stakeholder",7
"100","surveys",7
"101","sustainableagriculture",7
"102","sustainableintensification",7
"103","vulnerability",7
"104","wheat",7
"105","adaptivemanagement",6
"106","agriculturaltechnology",6
"107","agroecology",6
"108","animal",6
"109","biologicalcontrol",6
"110","biomass",6
"111","carbonsequestration",6
"112","classification",6
"113","conservationofnaturalresources",6
"114","controlledstudy",6
"115","croppingsystems",6
"116","developingcountries",6
"117","developmentandaging",6
"118","domestication",6
"119","foodindustry",6
"120","foodproduction",6
"121","genotype",6
"122","growth",6
"123","himalaya",6
"124","income",6
"125","indigenouspeople",6
"126","irrigation",6
"127","legume",6
"128","millet",6
"129","myanmar",6
"130","naturalresource",6
"131","nutrients",6
"132","nutrition",6
"133","oryzasativa",6
"134","pakistan",6
"135","plant",6
"136","plants",6
"137","policymaking",6
"138","poverty",6
"139","publichealth",6
"140","questionnairesurvey",6
"141","regressionanalysis",6
"142","ruralarea",6
"143","ruralpopulation",6
"144","soilorganicmatter",6
"145","vegetables",6
"146","yield",6
"147","adoption",5
"148","afghanistan",5
"149","agriculturalmachinery",5
"150","agriculturalpractice",5
"151","agriculturalsustainability",5
"152","asia",5
"153","assam",5
"154","bos",5
"155","breeding",5
"156","caprahircus",5
"157","cereal",5
"158","chemistry",5
"159","clusteranalysis",5
"160","commerce",5
"161","conservationagriculture",5
"162","conservationmanagement",5
"163","croppingsystem",5
"164","cropresidue",5
"165","demandanalysis",5
"166","dicotyledon",5
"167","empiricalanalysis",5
"168","environmentalfactor",5
"169","fertilizer",5
"170","foodpolicy",5
"171","foodsafety",5
