"","Year","Combine","n"
"1","2010","",7
"2","2010","china",6
"3","2010","rice",5
"4","2010","yunnan",5
"5","2010","agrobiodiversity",4
"6","2010","biodiversity",4
"7","2010","cultivation",4
"8","2010","agriculturalecosystem",3
"9","2010","animalia",3
"10","2010","oryzasativa",3
"11","2010","agriculturaleconomics",2
"12","2010","agrobiodiversityloss",2
"13","2010","alternativeagriculture",2
"14","2010","animals",2
"15","2010","asparagusracemosus",2
"16","2010","caprahircus",2
"17","2010","chillinginjury",2
"18","2010","cinnamomumtamala",2
"19","2010","climatechange",2
"20","2010","cost-benefitanalysis",2
"21","2010","cropproduction",2
"22","2010","crops",2
"23","2010","cropyield",2
"24","2010","cultivar",2
"25","2010","culturalheritage",2
"26","2010","easternnepal",2
"27","2010","foodsecurity",2
"28","2010","forestry",2
"29","2010","geneticdiversity",2
"30","2010","geneticvariation",2
"31","2010","institutionalconstraints",2
"32","2010","juglandaceae",2
"33","2010","juglansregia",2
"34","2010","juglanssigillata",2
"35","2010","kinship",2
"36","2010","landforms",2
"37","2010","livelihoodvulnerability",2
"38","2010","maize",2
"39","2010","manipur",2
"40","2010","manure",2
"41","2010","nagaland",2
"42","2010","ntfpdomestication",2
"43","2010","ntfppolicy",2
"44","2010","populationgenetics",2
"45","2010","populationgrowth",2
"46","2010","populationstructure",2
"47","2010","potyvirus",2
"48","2010","profitability",2
"49","2010","shiftingcultivation",2
"50","2010","southasia",2
"51","2010","swertiachirayita",2
"52","2010","texusbaccata",2
"53","2010","xishuangbanna",2
"54","2010","zeamays",2
"55","2010","15nisotopedilution",1
"56","2010","adaptability",1
"57","2010","addednitrogeninteraction",1
"58","2010","agricultural",1
"59","2010","agriculturalmanagement",1
"60","2010","agriculturalpractice",1
"61","2010","agriculturalresearch",1
"62","2010","agriculturaltechnology",1
"63","2010","agriculturalworker",1
"64","2010","agriculture",1
"65","2010","agro-practice",1
"66","2010","agrobiodiversityconservation",1
"67","2010","agroecology",1
"68","2010","agroecosystem",1
"69","2010","alnus",1
"70","2010","animalhusbandry",1
"71","2010","anthropogeniceffect",1
"72","2010","aonagatribe",1
"73","2010","arableland",1
"74","2010","arecacatechu",1
"75","2010","arundinaria",1
"76","2010","arundinariaintermedia",1
"77","2010","asparagus",1
"78","2010","assam",1
"79","2010","bamboo",1
"80","2010","baris",1
"81","2010","bhutan",1
"82","2010","biomass",1
"83","2010","bos",1
"84","2010","cinnamomum",1
"85","2010","commercialization",1
"86","2010","communitybasedseedproduction",1
"87","2010","communityforestry",1
"88","2010","conservation",1
"89","2010","conservationalagriculture",1
"90","2010","conservationgenetics",1
"91","2010","conservationofnaturalresources",1
"92","2010","contamination",1
"93","2010","costbenefitanalysis",1
"94","2010","costeffectiveness",1
"95","2010","costs",1
"96","2010","crop",1
"97","2010","croppingpractice",1
"98","2010","culturaltradition",1
"99","2010","deciduoustree",1
"100","2010","demand-sidemanagement",1
"101","2010","developingcountries",1
"102","2010","dilution",1
"103","2010","domestic",1
"104","2010","domestication",1
"105","2010","doublecropping",1
"106","2010","dulong",1
"107","2010","dulongvalley",1
"108","2010","echinochloacolona",1
"109","2010","economics",1
"110","2010","ecosystem",1
"111","2010","ecosystems",1
"112","2010","egg",1
"113","2010","environmentalhealthandsafety",1
"114","2010","environmentalimpact",1
"115","2010","environmentalindex",1
"116","2010","euryaleferox",1
"117","2010","euryaleferoxsalisb",1
"118","2010","farmyardmanure",1
"119","2010","feeding",1
"120","2010","fertilizer",1
"121","2010","food",1
"122","2010","foodindustry",1
"123","2010","foodproduction",1
"124","2010","foodproducts",1
"125","2010","foodsafety",1
"126","2010","foodsupply",1
"127","2010","forestrypolicy",1
"128","2010","foxnut",1
"129","2010","futureprospect",1
"130","2010","geneticanalysis",1
"131","2010","genotype",1
"132","2010","geographicaldistribution",1
"133","2010","geranium",1
"134","2010","germplasm",1
"135","2010","gorgonnut",1
"136","2010","grass",1
"137","2010","grazing",1
"138","2010","harvesting",1
"139","2010","herbalstate",1
"140","2010","heritageconservation",1
"141","2010","humansettlement",1
"142","2010","income",1
"143","2010","incomedistribution",1
"144","2010","india",1
"145","2010","indigenouspopulation",1
"146","2010","ingkhol",1
"147","2010","integratedplantnutritionsystem",1
"148","2010","integration",1
"149","2010","intermedia",1
"150","2010","internationalcooperation",1
"151","2010","introducedspecies",1
"152","2010","investment",1
"153","2010","jhum",1
"154","2010","juglans",1
"155","2010","landraceenhancement",1
"156","2010","landusechange",1
"157","2010","livestock",1
"158","2010","livestockfarming",1
"159","2010","makhana",1
"160","2010","maps",1
"161","2010","market",1
"162","2010","microgoats",1
"163","2010","microlivestock",1
"164","2010","microsatellites",1
"165","2010","milk",1
"166","2010","millet",1
"167","2010","mizoram",1
"168","2010","molecularanalysis",1
"169","2010","mountainagriculture",1
"170","2010","mungbean",1
"171","2010","naturalresource",1
"172","2010","nature-societyrelations",1
"173","2010","natureconservation",1
"174","2010","nepal",1
"175","2010","nitrogenfertilizer",1
"176","2010","nitrogenisotope",1
"177","2010","nontimberforestproduct",1
"178","2010","nutrientuptake",1
"179","2010","on-farmconservation",1
"180","2010","oryzasatival.",1
"181","2010","parkiatimoriana",1
"182","2010","participatoryplantbreeding",1
"183","2010","particle-sizefractions",1
"184","2010","phylogeneticanalysis",1
"185","2010","phylogenetics",1
"186","2010","piperbetel",1
"187","2010","plantation",1
"188","2010","policy",1
"189","2010","potyviridae",1
"190","2010","prchina",1
"191","2010","prioritization",1
"192","2010","priorityjournal",1
"193","2010","public-privatesectorpartnerships",1
"194","2010","quantitativeanalysis",1
"195","2010","questionnairesurvey",1
"196","2010","regressionanalysis",1
"197","2010","review",1
"198","2010","rice-maize",1
"199","2010","rubber",1
"200","2010","rubberplantation",1
"201","2010","rubberplantations",1
"202","2010","sampling",1
"203","2010","securityofdata",1
"204","2010","sensitivityanalysis",1
"205","2010","sequence",1
"206","2010","shgs",1
"207","2010","site-specificnutrientmanagement",1
"208","2010","slopinglandconversionprogram(slcp)",1
"209","2010","smallholder",1
"210","2010","socialwelfare",1
"211","2010","societiesandinstitutions",1
"212","2010","socioeconomy",1
"213","2010","soilconservation",1
"214","2010","soilenzymeactivities",1
"215","2010","soilnitrogen",1
"216","2010","soilnitrogenandphosphorus",1
"217","2010","soilorganiccarbon",1
"218","2010","soilremediation",1
"219","2010","sorghum",1
"220","2010","sorghummosaicvirus",1
"221","2010","speciesinventory",1
"222","2010","speciesrichness",1
"223","2010","ssrs",1
