"","Combine","n"
"1","",352
"2","china",172
"3","india",116
"4","agriculture",104
"5","nepal",91
"6","foodsecurity",86
"7","biodiversity",85
"8","climatechange",78
"9","crops",64
"10","rice",64
"11","asia",59
"12","landuse",51
"13","sustainability",51
"14","sustainabledevelopment",51
"15","eurasia",50
"16","cropproduction",47
"17","cultivation",46
"18","farmingsystem",46
"19","agriculturalland",44
"20","article",44
"21","himalayas",44
"22","southasia",43
"23","conservation",40
"24","cropyield",40
"25","human",39
"26","triticumaestivum",39
"27","zeamays",38
"28","agrobiodiversity",37
"29","alternativeagriculture",36
"30","bangladesh",34
"31","agriculturalproduction",33
"32","myanmar",33
"33","animalia",32
"34","agriculturalecosystem",31
"35","agroforestry",31
"36","geneticdiversity",31
"37","intercropping",31
"38","maize",30
"39","yunnan",30
"40","agriculturaldevelopment",29
"41","foodsupply",28
"42","wheat",28
"43","crop",26
"44","economics",26
"45","speciesdiversity",26
"46","humans",25
"47","forestry",24
"48","genetics",24
"49","oryzasativa",24
"50","pakistan",24
"51","agricultural",23
"52","ecosystem",23
"53","ecosystemservice",23
"54","productivity",23
"55","environmentalprotection",22
"56","soilfertility",22
"57","adaptation",21
"58","agriculturalintensification",21
"59","cropdiversity",21
"60","ecosystems",21
"61","geneticvariation",21
"62","legume",21
"63","populationstructure",21
"64","procedures",21
"65","sustainableagriculture",21
"66","croppingpractice",20
"67","landusechange",20
"68","livestock",20
"69","agribusiness",19
"70","agriculturalmanagement",19
"71","cropplant",19
"72","growth",19
"73","smallholder",19
"74","animals",18
"75","livelihood",18
"76","nonhuman",18
"77","soils",18
"78","traditionalagriculture",18
"79","decisionmaking",17
"80","ecology",17
"81","economicanalysis",17
"82","economicdevelopment",17
"83","ecosystemservices",17
"84","fertilizerapplication",17
"85","germplasm",17
"86","mountainregion",17
"87","soilconservation",17
"88","traditionalknowledge",17
"89","agronomy",16
"90","conservationofnaturalresources",16
"91","cropimprovement",16
"92","ethnobotany",16
"93","shiftingcultivation",16
"94","agriculturalpolicy",15
"95","cost-benefitanalysis",15
"96","cultivar",15
"97","himalaya",15
"98","plants(botany)",15
"99","ruraldevelopment",15
"100","soil",15
"101","agroindustry",14
"102","biomass",14
"103","homegarden",14
"104","irrigation",14
"105","principalcomponentanalysis",14
"106","ruralarea",14
"107","soilerosion",14
"108","xishuangbanna",14
"109","agriculturalworker",13
"110","animal",13
"111","carbonsequestration",13
"112","developmentandaging",13
"113","female",13
"114","foodproduction",13
"115","glycinemax",13
"116","millet",13
"117","phosphorus",13
"118","plant",13
"119","priorityjournal",13
"120","rubber",13
"121","agriculturaleconomics",12
"122","cateringservice",12
"123","developingworld",12
"124","forest",12
"125","geneticresource",12
"126","landtenure",12
"127","male",12
"128","nitrogen",12
"129","profitability",12
"130","regressionanalysis",12
"131","stakeholder",12
"132","agriculturalpractice",11
"133","agriculturalresearch",11
"134","caprahircus",11
"135","domestication",11
"136","energy",11
"137","genotype",11
"138","landraces",11
"139","nutrition",11
"140","organicfarming",11
"141","poverty",11
"142","socioeconomicconditions",11
"143","uttarakhand",11
"144","vulnerability",11
"145","adaptivemanagement",10
"146","bigdata",10
"147","biologicalcontrol",10
"148","conservationmanagement",10
"149","conservationtillage",10
"150","croppingsystems",10
"151","diversity",10
"152","farms",10
"153","income",10
"154","intensiveagriculture",10
"155","landdegradation",10
"156","organiccarbon",10
"157","perception",10
"158","physiology",10
"159","questionnairesurvey",10
"160","ruralpopulation",10
"161","soilquality",10
"162","speciesrichness",10
"163","sustainableintensification",10
"164","yield",10
"165","adoption",9
"166","adult",9
"167","agroecology",9
"168","bos",9
"169","breeding",9
"170","cicerarietinum",9
"171","classification",9
"172","clusteranalysis",9
"173","comparativestudy",9
"174","croppingsystem",9
"175","developingcountries",9
"176","environmentalimpact",9
"177","erosion",9
"178","governanceapproach",9
"179","herb",9
"180","history",9
"181","indigenousknowledge",9
"182","juglansregia",9
"183","landrace",9
"184","landuseplanning",9
"185","managementpractice",9
"186","manure",9
"187","nutritionalstatus",9
"188","plantbreeding",9
"189","plants",9
"190","resourceuse",9
"191","seed",9
"192","soilorganicmatter",9
"193","surveys",9
"194","tillage",9
"195","watershed",9
"196","agriculturalmachinery",8
"197","agriculturalsustainability",8
"198","altitude",8
"199","controlledstudy",8
"200","cropresidue",8
"201","drought",8
"202","easternhemisphere",8
"203","fareast",8
"204","fertilizers",8
"205","genetic",8
"206","geneticvariability",8
"207","genome",8
"208","grain(agriculturalproduct)",8
"209","householdsurvey",8
"210","integratedapproach",8
"211","landmanagement",8
"212","livestockfarming",8
"213","nutrients",8
"214","sikkim",8
"215","socioeconomics",8
"216","soilcarbon",8
"217","solanumtuberosum",8
"218","spatialdistribution",8
"219","subsistenceagriculture",8
"220","world",8
"221","agrarianchange",7
"222","agriculturalbiodiversity",7
"223","agriculturaltechnology",7
"224","agritourism",7
"225","animalhusbandry",7
"226","bhutan",7
"227","biotechnology",7
"228","carbon",7
"229","cereal",7
"230","chemistry",7
"231","climateeffect",7
"232","conservationagriculture",7
"233","dicotyledon",7
"234","diversityindex",7
"235","economicandsocialeffects",7
"236","fertilizer",7
"237","fodder",7
"238","foodindustry",7
"239","foodpolicy",7
"240","foodsafety",7
"241","fruit",7
"242","gis",7
"243","harvesting",7
"244","hexapoda",7
"245","household",7
"246","innovation",7
"247","juglans",7
"248","malusxdomestica",7
"249","microsatellites",7
"250","monoculture",7
"251","mountainenvironment",7
"252","naturalresource",7
"253","numericalmodel",7
"254","nutritionalvalue",7
"255","nutritivevalue",7
"256","on-farmconservation",7
"257","participatoryapproach",7
"258","plantgeneticresources",7
"259","quantitativeanalysis",7
"260","soybean",7
"261","uplandregion",7
"262","vegetables",7
"263","wateruseefficiency",7
"264","womensstatus",7
"265","agroecosystem",6
"266","allele",6
"267","arsenic",6
"268","brassicanapus",6
"269","certification",6
"270","commerce",6
"271","conservationgenetics",6
"272","conservationplanning",6
"273","developingcountry",6
"274","diet",6
"275","ecologicalagriculture",6
"276","efficiency",6
"277","empiricalanalysis",6
"278","environmentalfactor",6
"279","environmentalmanagement",6
"280","fabaceae",6
"281","farmersattitude",6
"282","farmingsystems",6
"283","forestmanagement",6
"284","forests",6
"285","fruits",6
"286","gender",6
"287","geneticanalysis",6
"288","geneticmarker",6
"289","geneticresources",6
"290","genomics",6
"291","grass",6
"292","greenrevolution",6
"293","homegardens",6
"294","indigenouspeople",6
"295","investment",6
"296","juglanssigillata",6
"297","landforms",6
"298","legumes",6
"299","management",6
"300","medicinalplant",6
"301","mixedfarming",6
"302","oryza",6
"303","pestcontrol",6
"304","pisumsativum",6
"305","plantgrowth",6
"306","policymaking",6
"307","polymorphism",6
"308","populationgenetics",6
"309","populationgrowth",6
"310","publichealth",6
"311","publicpolicy",6
"312","rain",6
"313","remotesensing",6
"314","rubberplantations",6
"315","ruralareas",6
"316","ruraleconomy",6
"317","seasonalvariation",6
"318","soilproperty",6
"319","tourism",6
"320","traditionalecologicalknowledge",6
"321","tree",6
"322","vegetable",6
"323","village",6
"324","zerotillage",6
"325","afghanistan",5
"326","aged",5
"327","agriculturallabor",5
"328","agriculturalproductions",5
"329","agriculturalwastes",5
"330","agro-biodiversity",5
"331","apismellifera",5
"332","assam",5
"333","assessmentmethod",5
"334","bacteria",5
"335","barley",5
"336","bostaurus",5
"337","brassicarapa",5
"338","cajanuscajan",5
"339","cattle",5
"340","cereals",5
"341","child",5
"342","commercialization",5
"343","croprotation",5
"344","decomposition",5
"345","demandanalysis",5
"346","dietarydiversity",5
"347","ecosystemfunction",5
"348","education",5
"349","eleusinecoracana",5
"350","environmentalstress",5
"351","ethnicgroup",5
"352","farmersknowledge",5
"353","fish",5
"354","food",5
"355","foodavailability",5
"356","foodconsumption",5
"357","foodgrain",5
"358","foodintake",5
"359","fungi",5
"360","geneflow",5
"361","genes",5
"362","government",5
"363","greenhousegas",5
"364","health",5
"365","hillfarming",5
"366","himachalpradesh",5
"367","hordeum",5
"368","householdincome",5
"369","hplc",5
"370","humanexperiment",5
"371","insecticide",5
"372","integratedfarmingsystems",5
"373","integratedpestmanagement",5
"374","introgression",5
"375","investments",5
"376","landscape",5
"377","lensculinaris",5
"378","lepidoptera",5
"379","livelihoods",5
"380","localparticipation",5
"381","malnutrition",5
"382","marketing",5
"383","metabolism",5
"384","middleaged",5
"385","milk",5
"386","minimumtillage",5
"387","models",5
"388","morphology",5
"389","nitrogenfixation",5
"390","nutrient",5
"391","nutrientdynamics",5
"392","plantgenome",5
"393","populationdynamics",5
"394","potassium",5
"395","prioritization",5
"396","rainfedagriculture",5
"397","researchwork",5
"398","resilience",5
"399","season",5
"400","sichuan",5
"401","socialcapital",5
"402","socioeconomicfactors",5
"403","socioeconomicimpact",5
"404","soilhealth",5
"405","soilmoisture",5
"406","soilpollution",5
"407","southeastasia",5
"408","spatiotemporalanalysis",5
"409","strategicapproach",5
"410","systemproductivity",5
"411","technicalefficiency",5
"412","tibet",5
"413","urbanization",5
"414","vegetation",5
"415","water",5
"416","watersupply",5
"417","westbengal",5
"418","wildpopulation",5
"419","yieldresponse",5
"420","agriculturalmarket",4
"421","agriculturalsoil",4
"422","agriculturedevelopment",4
"423","agro-ecosystems",4
"424","agrodiversity",4
"425","apoidea",4
"426","aquaculture",4
"427","arableland",4
"428","artificialintelligence",4
"429","arunachalpradesh",4
"430","asteraceae",4
"431","ayeyarwady",4
"432","bacteria(microorganisms)",4
"433","biochar",4
"434","biocontrol",4
"435","blackgram",4
"436","cashcrop",4
"437","cashcrops",4
"438","catchment",4
"439","climate",4
"440","climatechangeadaptation",4
"441","composting",4
"442","concentration(composition)",4
"443","conceptualframework",4
"444","conservationstatus",4
"445","consumptionbehavior",4
"446","costbenefitanalysis",4
"447","costs",4
"448","cropproductivity",4
"449","deeplearning",4
"450","deforestation",4
"451","diversification",4
"452","dynamics",4
"453","economicgrowth",4
"454","ecosystemresilience",4
"455","ecotourism",4
"456","edible",4
"457","edibleplant",4
"458","elettariacardamomum",4
"459","empowerment",4
"460","environmentaldegradation",4
"461","environmentalpolicy",4
"462","enzymeactivity",4
"463","ethnicminority",4
"464","experimentalstudy",4
"465","fagopyrumesculentum",4
"466","familycharacteristics",4
"467","familysize",4
"468","farming",4
"469","feeding",4
"470","fieldmethod",4
"471","foodquality",4
"472","geneticerosion",4
"473","geneticstructure",4
"474","geographicinformationsystems",4
"475","geography",4
"476","governance",4
"477","grassland",4
"478","grazing",4
"479","growthrate",4
"480","heterozygosity",4
"481","heveabrasiliensis",4
"482","hill",4
"483","hillslope",4
"484","horticulture",4
"485","humanactivity",4
"486","insituconservation",4
"487","integratedfarming",4
"488","integratedfarmingsystem",4
"489","intellectualpropertyrights",4
"490","interaction",4
"491","ipomoeabatatas",4
"492","knowledge",4
"493","lakes",4
"494","landabandonment",4
"495","landownership",4
"496","landreform",4
"497","literaturereview",4
"498","lycopersiconesculentum",4
"499","majorclinicalstudy",4
"500","market",4
"501","methane",4
"502","migration",4
"503","millets",4
"504","modernization",4
"505","mountainagriculture",4
"506","mountains",4
"507","myricaesculenta",4
"508","naturalresources",4
"509","natureconservation",4
"510","ndvi",4
"511","northeastindia",4
"512","overlandflow",4
"513","ovisaries",4
"514","paddyfield",4
"515","pastoralism",4
"516","phenotype",4
"517","phylogeography",4
"518","planning",4
"519","plantation",4
"520","plantationforestry",4
"521","plantdisease",4
"522","plantdiseases",4
"523","plantdiversity",4
"524","policy",4
"525","population",4
"526","potato",4
"527","povertyalleviation",4
"528","precisionagriculture",4
"529","production",4
"530","rainfall",4
"531","recycling",4
"532","regionalplanning",4
"533","residuemanagement",4
"534","review",4
"535","rhizosphere",4
"536","risk",4
"537","riskassessment",4
"538","runoff",4
"539","seasons",4
"540","seedtreatment",4
"541","selection",4
"542","shrub",4
"543","simplesequencerepeat",4
"544","socialchange",4
"545","socioeconomicstatus",4
"546","soilchemistry",4
"547","soilloss",4
"548","soilnitrogen",4
"549","soilnutrient",4
"550","speciesinventory",4
"551","staterole",4
"552","supplychainmanagement",4
"553","susscrofa",4
"554","sustainableproduction",4
"555","tea",4
"556","technologyadoption",4
"557","thailand",4
"558","timber",4
"559","timeseriesanalysis",4
"560","traditionalcrops",4
"561","traditionalmedicine",4
"562","trends",4
"563","triticum",4
"564","viciafaba",4
"565","winter",4
"566","women",4
"567","zingiberofficinale",4
"568","abandonedland",3
"569","abovegroundbiomass",3
"570","accessibility",3
"571","adaptivecapacity",3
"572","agriculturaldiversification",3
"573","agriculturallandscape",3
"574","agriculturalpractices",3
"575","agriculturalproducts",3
"576","agro-ecosystem",3
"577","agrobiodiversityconservation",3
"578","agronomicpractices",3
"579","amorphophallus",3
"580","analysis",3
"581","analytichierarchyprocess(ahp)",3
"582","animalfeed",3
"583","animalfood",3
"584","anthropogeniceffect",3
"585","aquilariamalaccensis",3
"586","aromaticrice",3
"587","asiancountries",3
"588","aves",3
"589","bagrotvalley",3
"590","basidiomycota",3
"591","belowgroundbiomass",3
"592","benefitcostratio",3
"593","bestmanagementpractice",3
"594","bioaccumulation",3
"595","biochemistry",3
"596","biofertilizer",3
"597","biological",3
"598","biologicalmodel",3
"599","bosgrunniens",3
"600","bulkdensity",3
"601","capacitybuilding",3
"602","carbondioxide",3
"603","chenopodiumquinoa",3
"604","chittagong[bangladesh]",3
"605","chittagonghilltracts",3
"606","chlorophyll",3
"607","classification(ofinformation)",3
"608","climateconditions",3
"609","climaticconditions",3
"610","coffee",3
"611","collectiveaction",3
"612","commercialphenomena",3
"613","communitycomposition",3
"614","competition",3
"615","compost",3
"616","consolidation",3
"617","contingentvaluation",3
"618","correlation",3
"619","costeffectiveness",3
"620","cotton",3
"621","cropdamage",3
"622","cropdiversification",3
"623","cropmanagement",3
"624","croppingpattern",3
"625","cropresidues",3
"626","cropsystem",3
"627","cropwildrelative",3
"628","culturalheritage",3
"629","culturaltradition",3
"630","demography",3
"631","development",3
"632","dietaryintake",3
"633","dioscoreaalata",3
"634","disease",3
"635","diseasediagnosis",3
"636","doublecropping",3
"637","droughtstress",3
"638","drylandagriculture",3
"639","ecologicalimpact",3
"640","economicaspect",3
"641","economicconditions",3
"642","ediblegrain",3
"643","egg",3
"644","embryophyta",3
"645","energybudget",3
"646","energyuse",3
"647","energyutilization",3
"648","entrepreneur",3
"649","environmentalchange",3
"650","environmentalmonitoring",3
"651","environmentalplanning",3
"652","essentialoil",3
"653","estimationmethod",3
"654","ethnicgroups",3
"655","ethnology",3
"656","europe",3
"657","fagopyrumtataricum",3
"658","fallow",3
"659","farm",3
"660","farmsize",3
"661","feces",3
"662","floods",3
"663","floristics",3
"664","flue-curedtobacco",3
"665","foodmarket",3
"666","forecasting",3
"667","gardening",3
"668","geneintrogression",3
"669","geneticselection",3
"670","genomicresources",3
"671","geographicinformationsystem",3
"672","gilgit-baltistan",3
"673","gossypiumhirsutum",3
"674","grainproduction",3
"675","grainyield",3
"676","growingseason",3
"677","habitatconservation",3
"678","habitatfragmentation",3
"679","habitatrestoration",3
"680","helianthus",3
"681","helicoverpaarmigera",3
"682","himalayanregion",3
"683","historicalperspective",3
"684","hybrid",3
"685","hybridization",3
"686","hymenoptera",3
"687","imageprocessing",3
"688","insect",3
"689","insecticides",3
"690","internationalorganization",3
"691","introducedspecies",3
"692","invasivespecies",3
"693","jhum",3
"694","karakoram",3
"695","land-usechange",3
"696","landconsolidation",3
"697","landcover",3
"698","landevaluation",3
"699","landscapechange",3
"700","landscapeplanning",3
"701","leaching",3
"702","legislation",3
"703","localgovernment",3
"704","machinelearning",3
"705","macrotylomauniflorum",3
"706","marketconditions",3
"707","mechanization",3
"708","medicinal",3
"709","medicinalplants",3
"710","methodology",3
"711","microbiology",3
"712","microsatellitedna",3
"713","microsatelliterepeats",3
"714","mizoram",3
"715","modeling",3
"716","morphometry",3
"717","morusalba",3
"718","mountainousareas",3
"719","nagaland",3
"720","naturalenemies",3
"721","naturalenemy",3
"722","nature-societyrelations",3
"723","nutrientavailability",3
"724","nutritionalsecurity",3
"725","optimization",3
"726","orchard",3
"727","organicagriculture",3
"728","organicmatter",3
"729","ownership",3
"730","parasitology",3
"731","participatoryplantbreeding",3
"732","photosynthesis",3
"733","phylogeny",3
"734","physiologicalresponse",3
"735","plantcommunity",3
"736","plantextract",3
"737","plantextracts",3
"738","plantgrowthpromotion",3
"739","poaceae",3
"740","policyanalysis",3
"741","policyapproach",3
"742","policyimplementation",3
"743","pollution",3
"744","populationstatistics",3
"745","poultry",3
"746","preventionandcontrol",3
"747","protein",3
"748","psophocarpustetragonolobus",3
"749","pulses",3
"750","qualitycontrol",3
"751","qualityoflife",3
"752","quantitativetrait",3
"753","questionnaire",3
"754","rainfed",3
"755","rangeexpansion",3
"756","redlist",3
"757","reproduction",3
"758","reservoirs(water)",3
"759","resourceallocation",3
"760","resourceavailability",3
"761","resourcemanagement",3
"762","rhizobium",3
"763","rurallandscape",3
"764","rusle",3
"765","salinity",3
"766","seedling",3
"767","semiaridregion",3
"768","sikkimhimalayas",3
"769","smallandmediumenterprises",3
"770","smallholderfarmers",3
"771","socialclass",3
"772","soildegradation",3
"773","soildepth",3
"774","soilorganiccarbon",3
"775","soilremediation",3
"776","soilsurvey",3
"777","soilwater",3
"778","sorghum",3
"779","spatio-temporalanalysis",3
"780","specialization",3
"781","speciesconservation",3
"782","statisticalanalysis",3
"783","structure",3
"784","suidae",3
"785","survey",3
"786","surveysandquestionnaires",3
"787","survival",3
"788","switzerland",3
"789","technologicaldevelopment",3
"790","technologytransfer",3
"791","terraceagriculture",3
"792","tobacco",3
"793","tolerance",3
"794","totalfactorproductivity",3
"795","tourismdevelopment",3
"796","traditional",3
"797","transgenicplant",3
"798","tropics",3
"799","unclassifieddrug",3
"800","urbanarea",3
"801","uttaranchal",3
"802","vegetationcover",3
"803","vignamungo",3
"804","vignaradiatavar.radiata",3
"805","virulence",3
"806","visualization",3
"807","walnut",3
"808","water-useefficiency",3
"809","waterconservation",3
"810","weather",3
"811","weed",3
"812","weedcontrol",3
"813","wildedibleplants",3
"814","willingnesstoaccept",3
"815","wirelesssensornetworks",3
"816","yangtzeriver",3
"817","20thcentury",2
"818","21stcentury",2
"819","454sequencing",2
"820","80andover",2
"821","abioticstress",2
"822","abundance",2
"823","academicresearch",2
"824","adaptability",2
"825","aesthetics",2
"826","africa",2
"827","aggregation",2
"828","agri-environmentalpolicy",2
"829","agriculturalbiotechnology",2
"830","agriculturalchange",2
"831","agriculturalextension",2
"832","agriculturalimplements",2
"833","agriculturalinstitutions",2
"834","agriculturallandscapes",2
"835","agriculturalmodeling",2
"836","agriculturalmultifunctionality",2
"837","agriculturalproductivity",2
"838","agriculturalsystem",2
"839","agriculturaltrade",2
"840","agriculturesustainability",2
"841","agrobiodiversityloss",2
"842","agroecosystems",2
"843","albizia",2
"844","allelopathy",2
"845","alluvialfarming",2
"846","alnus",2
"847","alps",2
"848","analyticalhierarchyprocess",2
"849","analytichierarchyprocess",2
"850","anemia",2
"851","angiosperm",2
"852","animalwelfare",2
"853","antibiotics",2
"854","antioxidant",2
"855","antioxidants",2
"856","apiscerana",2
"857","apislaboriosa",2
"858","apodemusagrarius",2
"859","apparency",2
"860","apple",2
"861","applicationprogress",2
"862","arduino",2
"863","arid",2
"864","ascorbicacid",2
"865","asparagusracemosus",2
"866","attitude",2
"867","australia",2
"868","awareness",2
"869","azospirillum",2
"870","bacterium",2
"871","bago",2
"872","bamboo",2
"873","bee",2
"874","beekeeping",2
"875","beijing[china]",2
"876","bestmanagementpractices",2
"877","bharcommunity",2
"878","bihar",2
"879","biochemicalcomposition",2
"880","biodiversityconservation",2
"881","bioenergy",2
"882","biogas",2
"883","biogeochemicalcycle",2
"884","biologicalmaterials",2
"885","biomarkers",2
"886","biomassallocation",2
"887","biomassproduction",2
"888","bioticstress",2
"889","blockchain",2
"890","brassica",2
"891","breedingapproaches",2
"892","bubalus",2
"893","buffalo",2
"894","burma",2
"895","business",2
"896","businessdevelopment",2
"897","businessfunctions",2
"898","butterfly",2
"899","c",2
"900","cadmium",2
"901","camellia",2
"902","camelliasinensisvar.assamica",2
"903","canola",2
"904","capitalism",2
"905","capitals",2
"906","carbonemission",2
"907","carbonfootprint",2
"908","carbonmanagementindex",2
"909","carbonmanagementindices",2
"910","carbonstock",2
"911","carbonstocks",2
"912","carryingcapacity",2
"913","carthamus",2
"914","cashcropping",2
"915","centralhimalaya",2
"916","chakhesangtribe",2
"917","chemicalanalysis",2
"918","chemigation",2
"919","chengdu",2
"920","chickpea",2
"921","childnutrition",2
"922","chillinginjury",2
"923","chin",2
