"","Year","Combine"
"1","1995","ibuprofen"
"2","1995","agriculturalsystem"
"3","1995","agroforestry"
"4","1995","agroforestryresearch"
"5","1995","landmanagement"
"6","1995","ruraldevelopment"
"7","1995","uplandagriculture"
"8","1995","agriculturalworker"
"9","1995","agriculture"
"10","1995","market"
"11","1995","policy"
"12","1995","china"
"13","1995","yunnanprovince"
"14","1995","china"
"15","1995","yunnan"
"16","1995","zhuoxi"
"17","1995","china"
"18","1995","economicaspect"
"19","1995","government"
"20","1996","yield"
"21","1996","disease"
"22","1996","interaction"
"23","1996","subsistenceagriculture"
"24","1996","varietalmixtures"
"25","1996","sustainableproductivity"
"26","1996","diversity"
"27","1996","stability"
"28","1996","nepal"
"29","1996","mountainenvironment"
"30","1996","landmanagement"
"31","1996","landusesustainableagriculture"
"32","1996","subsistenceagriculture"
"33","1996","tropics"
"34","1996","agriculturalsustainability"
"35","1996","varietalchoice"
"36","1996","cropvariety"
"37","1996","cropdiversity"
"38","1996","developingcountry"
"39","1996","agriculturalintensification"
"40","1996","man-environmentrelations"
"41","1996","landuse"
"42","1996","mountainenvironment"
"43","1996","landdegradation"
"44","1996","soilerosion"
"45","1996","subsistenceeconomy"
"46","1996","mountainregion"
"47","1996","nepal"
"48","1997",""
"49","1997","cropdiversity"
"50","1997","developingcountry"
"51","1997","homegarden"
"52","1997","plantresources"
"53","1997","plantspecies"
"54","1997","resourcesassessment"
"55","1997","bangladesh"
"56","1997","agriculturalefficiency"
"57","1997","agriculturalintensification"
"58","1997","agriculturalpolicy"
"59","1997","agriculturalpractice"
"60","1997","croppingsystem"
"61","1997","developingcountry"
"62","1997","landusechange"
"63","1997","mountainagriculture"
"64","1997","mountainfarming"
"65","1997","smallholders"
"66","1997","india"
"67","1997","himachalpradesh"
"68","1997","malusxdomestica"
"69","1997","solanumtuberosum"
"70","1997","triticumaestivum"
"71","1998","survey"
"72","1998","geneticresources"
"73","1998","china"
"74","1998","cropimprovement"
"75","1998","utilizationchina"
"76","1998","cropimprovement"
"77","1998","cropdiversity"
"78","1998","germplasm"
"79","1998","breeding"
"80","1998","agriculturalresearch"
"81","1998","geneticresources"
"82","1998","cultivar"
"83","1998","geneticresource"
"84","1999","agrobiodiversity"
"85","1999","agriculture"
"86","1999","biodiversity"
"87","1999","cropdiversity"
"88","1999","geneticdiversity"
"89","1999","livestock"
"90","1999","traditionalknowledge"
"91","1999","policies"
"92","1999","india."
"93","1999","myanmar"
"94","1999","wingedbean"
"95","1999","psophocarpustetragonolobus"
"96","1999",""
"97","1999",""
"98","1999","tetragonolobus"
"99","1999","psophocarpustetragonolobus"
"100","1999","phaseolus(angiosperm)"
"101","1999","agroecology"
