"","Year","Combine","n"
"1","1995","china",3
"2","1995","agriculturalsystem",1
"3","1995","agriculturalworker",1
"4","1995","agriculture",1
"5","1995","agroforestry",1
"6","1995","agroforestryresearch",1
"7","1995","economicaspect",1
"8","1995","government",1
"9","1995","ibuprofen",1
"10","1995","landmanagement",1
"11","1995","market",1
"12","1995","policy",1
"13","1995","ruraldevelopment",1
"14","1995","uplandagriculture",1
"15","1995","yunnan",1
"16","1995","yunnanprovince",1
"17","1995","zhuoxi",1
"18","1996","mountainenvironment",2
"19","1996","nepal",2
"20","1996","subsistenceagriculture",2
"21","1996","agriculturalintensification",1
"22","1996","agriculturalsustainability",1
"23","1996","cropdiversity",1
"24","1996","cropvariety",1
"25","1996","developingcountry",1
"26","1996","disease",1
"27","1996","diversity",1
"28","1996","interaction",1
"29","1996","landdegradation",1
"30","1996","landmanagement",1
"31","1996","landuse",1
"32","1996","landusesustainableagriculture",1
"33","1996","man-environmentrelations",1
"34","1996","mountainregion",1
"35","1996","soilerosion",1
"36","1996","stability",1
"37","1996","subsistenceeconomy",1
"38","1996","sustainableproductivity",1
"39","1996","tropics",1
"40","1996","varietalchoice",1
"41","1996","varietalmixtures",1
"42","1996","yield",1
"43","1997","developingcountry",2
"44","1997","",1
"45","1997","agriculturalefficiency",1
"46","1997","agriculturalintensification",1
"47","1997","agriculturalpolicy",1
"48","1997","agriculturalpractice",1
"49","1997","bangladesh",1
"50","1997","cropdiversity",1
"51","1997","croppingsystem",1
"52","1997","himachalpradesh",1
"53","1997","homegarden",1
"54","1997","india",1
"55","1997","landusechange",1
"56","1997","malusxdomestica",1
"57","1997","mountainagriculture",1
"58","1997","mountainfarming",1
"59","1997","plantresources",1
"60","1997","plantspecies",1
"61","1997","resourcesassessment",1
"62","1997","smallholders",1
"63","1997","solanumtuberosum",1
"64","1997","triticumaestivum",1
"65","1998","cropimprovement",2
"66","1998","geneticresources",2
"67","1998","agriculturalresearch",1
"68","1998","breeding",1
"69","1998","china",1
"70","1998","cropdiversity",1
"71","1998","cultivar",1
"72","1998","geneticresource",1
"73","1998","germplasm",1
"74","1998","survey",1
"75","1998","utilizationchina",1
"76","1999","",2
"77","1999","psophocarpustetragonolobus",2
"78","1999","agriculturalpractice",1
"79","1999","agriculture",1
"80","1999","agrobiodiversity",1
"81","1999","agroecology",1
"82","1999","biodiversity",1
"83","1999","china",1
"84","1999","cropdiversity",1
"85","1999","environmentaldegradation",1
"86","1999","farmingsystem",1
"87","1999","geneticdiversity",1
"88","1999","hillfarming",1
"89","1999","india.",1
"90","1999","integratedapproach",1
