"","Combine","Year","n","Pillar","pillar"
"1","subsistenceagriculture",1996,2,"Engagement","Eng"
"2","mixedfarming",2002,2,"Engagement","Eng"
"3","traditionalagriculture",2002,2,"Engagement","Eng"
"4","gender",2005,2,"Engagement","Eng"
"5","sustainabledevelopment",2005,2,"Engagement","Eng"
"6","grain-for-greenprogramme",2006,2,"Engagement","Eng"
"7","homegarden",2006,2,"Engagement","Eng"
"8","subsistenceagriculture",2006,2,"Engagement","Eng"
"9","agriculturalpolicy",2007,2,"Engagement","Eng"
"10","alternativeagriculture",2007,2,"Engagement","Eng"
"11","traditionalagriculture",2007,2,"Engagement","Eng"
"12","alternativeagriculture",2008,3,"Engagement","Eng"
"13","sustainabledevelopment",2008,3,"Engagement","Eng"
"14","shiftingcultivation",2009,5,"Engagement","Eng"
"15","homegarden",2009,2,"Engagement","Eng"
"16","alternativeagriculture",2010,2,"Engagement","Eng"
"17","shiftingcultivation",2010,2,"Engagement","Eng"
"18","horticulture",2011,3,"Engagement","Eng"
"19","agriculturalmanagement",2011,2,"Engagement","Eng"
"20","agriculturalpractice",2011,2,"Engagement","Eng"
"21","pastoralism",2011,2,"Engagement","Eng"
"22","agriculturalintensification",2012,2,"Engagement","Eng"
"23","alternativeagriculture",2012,2,"Engagement","Eng"
"24","fertilizerapplication",2012,2,"Engagement","Eng"
"25","human",2012,2,"Engagement","Eng"
"26","sustainabledevelopment",2012,2,"Engagement","Eng"
"27","agriculturalmanagement",2013,2,"Engagement","Eng"
"28","human",2013,2,"Engagement","Eng"
"29","sustainabledevelopment",2013,2,"Engagement","Eng"
"30","human",2014,3,"Engagement","Eng"
"31","sustainabledevelopment",2014,3,"Engagement","Eng"
"32","homegarden",2014,2,"Engagement","Eng"
"33","alternativeagriculture",2015,4,"Engagement","Eng"
"34","intensiveagriculture",2015,4,"Engagement","Eng"
"35","sustainabledevelopment",2015,4,"Engagement","Eng"
"36","agriculturalmanagement",2015,3,"Engagement","Eng"
"37","human",2015,3,"Engagement","Eng"
"38","agriculturaldiversification",2015,2,"Engagement","Eng"
"39","agriculturalintensification",2015,2,"Engagement","Eng"
"40","agriculturalpolicy",2015,2,"Engagement","Eng"
"41","conservationplanning",2015,2,"Engagement","Eng"
"42","fertilizerapplication",2015,2,"Engagement","Eng"
"43","foodpolicy",2015,2,"Engagement","Eng"
"44","mixedfarming",2015,2,"Engagement","Eng"
"45","sustainableintensification",2015,2,"Engagement","Eng"
"46","women",2015,2,"Engagement","Eng"
"47","alternativeagriculture",2016,6,"Engagement","Eng"
"48","agriculturalintensification",2016,4,"Engagement","Eng"
"49","agriculturalpolicy",2016,4,"Engagement","Eng"
"50","adaptivemanagement",2016,3,"Engagement","Eng"
"51","sustainabledevelopment",2016,3,"Engagement","Eng"
"52","agriculturalworker",2016,2,"Engagement","Eng"
"53","greenrevolution",2016,2,"Engagement","Eng"
"54","homegarden",2016,2,"Engagement","Eng"
"55","human",2016,2,"Engagement","Eng"
"56","shiftingcultivation",2016,2,"Engagement","Eng"
"57","sustainableintensification",2016,2,"Engagement","Eng"
"58","human",2017,6,"Engagement","Eng"
"59","ethnicgroup",2017,5,"Engagement","Eng"
"60","agriculturalintensification",2017,3,"Engagement","Eng"
"61","traditionalagriculture",2017,3,"Engagement","Eng"
"62","adaptivemanagement",2017,2,"Engagement","Eng"
"63","adoption",2017,2,"Engagement","Eng"
"64","fertilizerapplication",2017,2,"Engagement","Eng"
"65","homegarden",2017,2,"Engagement","Eng"
"66","sustainabledevelopment",2017,2,"Engagement","Eng"
"67","sustainabledevelopment",2018,7,"Engagement","Eng"
"68","human",2018,5,"Engagement","Eng"
"69","agriculturalintensification",2018,3,"Engagement","Eng"
"70","conservationagriculture",2018,3,"Engagement","Eng"
"71","adoption",2018,2,"Engagement","Eng"
"72","alternativeagriculture",2018,2,"Engagement","Eng"
"73","investments",2018,2,"Engagement","Eng"
"74","precisionagriculture",2018,2,"Engagement","Eng"
"75","sustainableintensification",2018,2,"Engagement","Eng"
"76","human",2019,9,"Engagement","Eng"
"77","alternativeagriculture",2019,8,"Engagement","Eng"
"78","sustainabledevelopment",2019,8,"Engagement","Eng"
"79","traditionalagriculture",2019,6,"Engagement","Eng"
"80","agriculturalmanagement",2019,4,"Engagement","Eng"
"81","fertilizerapplication",2019,3,"Engagement","Eng"
"82","forecasting",2019,3,"Engagement","Eng"
"83","shiftingcultivation",2019,3,"Engagement","Eng"
"84","adoption",2019,2,"Engagement","Eng"
"85","agriculturallabor",2019,2,"Engagement","Eng"
"86","agriculturalworker",2019,2,"Engagement","Eng"
"87","foodaid",2019,2,"Engagement","Eng"
"88","foodpolicy",2019,2,"Engagement","Eng"
"89","greenrevolution",2019,2,"Engagement","Eng"
"90","integratedapproach",2019,2,"Engagement","Eng"
"91","intellectualpropertyrights",2019,2,"Engagement","Eng"
"92","sustainabledevelopment",2020,10,"Engagement","Eng"
"93","agriculturalworker",2020,3,"Engagement","Eng"
"94","human",2020,3,"Engagement","Eng"
"95","adaptivemanagement",2020,2,"Engagement","Eng"
"96","adoption",2020,2,"Engagement","Eng"
"97","agriculturallabor",2020,2,"Engagement","Eng"
"98","alternativeagriculture",2020,2,"Engagement","Eng"
"99","environmentalpolicy",2020,2,"Engagement","Eng"
"100","fertilizerapplication",2020,2,"Engagement","Eng"
"101","shiftingcultivation",2020,2,"Engagement","Eng"
"102","strategicapproach",2020,2,"Engagement","Eng"
