"","Combine","Year","n","Pillar","pillar"
"1","cropimprovement",1998,2,"Foundation","Fou"
"2","geneticresources",1998,2,"Foundation","Fou"
"3","carryingcapacity",2000,2,"Foundation","Fou"
"4","manure",2000,2,"Foundation","Fou"
"5","crops",2001,2,"Foundation","Fou"
"6","conservation",2003,3,"Foundation","Fou"
"7","intercropping",2003,3,"Foundation","Fou"
"8","geneflow",2004,2,"Foundation","Fou"
"9","manure",2004,2,"Foundation","Fou"
"10","soilchemistry",2004,2,"Foundation","Fou"
"11","conservation",2005,2,"Foundation","Fou"
"12","cultivar",2005,2,"Foundation","Fou"
"13","speciesdiversity",2005,2,"Foundation","Fou"
"14","conservationtillage",2006,2,"Foundation","Fou"
"15","geneticdiversity",2006,2,"Foundation","Fou"
"16","speciesdiversity",2006,2,"Foundation","Fou"
"17","grazing",2007,3,"Foundation","Fou"
"18","cropimprovement",2007,2,"Foundation","Fou"
"19","landraces",2007,2,"Foundation","Fou"
"20","livestock",2007,2,"Foundation","Fou"
"21","conservation",2008,2,"Foundation","Fou"
"22","conservationtillage",2008,2,"Foundation","Fou"
"23","on-farmreservoir",2008,2,"Foundation","Fou"
"24","rainfedecosystem",2008,2,"Foundation","Fou"
"25","crops",2009,3,"Foundation","Fou"
"26","conservation",2009,2,"Foundation","Fou"
"27","cropresidues",2009,2,"Foundation","Fou"
"28","cropyield",2009,2,"Foundation","Fou"
"29","cultivation",2009,2,"Foundation","Fou"
"30","speciesrichness",2009,2,"Foundation","Fou"
"31","weedcontrol",2009,2,"Foundation","Fou"
"32","cultivation",2010,4,"Foundation","Fou"
"33","crops",2010,2,"Foundation","Fou"
"34","cropyield",2010,2,"Foundation","Fou"
"35","cultivar",2010,2,"Foundation","Fou"
"36","geneticdiversity",2010,2,"Foundation","Fou"
"37","geneticvariation",2010,2,"Foundation","Fou"
"38","manure",2010,2,"Foundation","Fou"
"39","cropyield",2011,3,"Foundation","Fou"
"40","cultivation",2011,3,"Foundation","Fou"
"41","geneticvariation",2011,2,"Foundation","Fou"
"42","speciesdiversity",2011,2,"Foundation","Fou"
"43","cropyield",2012,4,"Foundation","Fou"
"44","biologicalcontrol",2012,3,"Foundation","Fou"
"45","conservation",2012,3,"Foundation","Fou"
"46","intercropping",2012,2,"Foundation","Fou"
"47","speciesdiversity",2012,2,"Foundation","Fou"
"48","speciesdiversity",2013,3,"Foundation","Fou"
"49","conservation",2013,2,"Foundation","Fou"
"50","intercropping",2013,2,"Foundation","Fou"
