"","Combine","Year","n","Pillar","pillar"
"1","farmingsystem",2000,2,"Function","Fun"
"2","farmingsystem",2001,3,"Function","Fun"
"3","nitrogenfixation",2001,3,"Function","Fun"
"4","agroforestry",2001,2,"Function","Fun"
"5","culturallandscapes",2001,2,"Function","Fun"
"6","landuse",2001,2,"Function","Fun"
"7","soilfertility",2001,2,"Function","Fun"
"8","farmingsystem",2002,3,"Function","Fun"
"9","sustainability",2002,2,"Function","Fun"
"10","agroforestry",2003,2,"Function","Fun"
"11","ethnobotany",2003,2,"Function","Fun"
"12","sustainability",2003,2,"Function","Fun"
"13","landuse",2004,2,"Function","Fun"
"14","soilfertility",2004,2,"Function","Fun"
"15","agroforestry",2005,2,"Function","Fun"
"16","farmingsystem",2005,2,"Function","Fun"
"17","sustainability",2005,2,"Function","Fun"
"18","agriculturalecosystem",2006,4,"Function","Fun"
"19","conservationtillage",2006,2,"Function","Fun"
"20","farmingsystem",2006,2,"Function","Fun"
"21","landuse",2006,2,"Function","Fun"
"22","soilfertility",2006,2,"Function","Fun"
"23","cropproduction",2007,2,"Function","Fun"
"24","irrigation",2007,2,"Function","Fun"
"25","landuse",2007,2,"Function","Fun"
"26","watershed",2007,2,"Function","Fun"
"27","agroforestry",2008,3,"Function","Fun"
"28","agriculturalecosystem",2008,2,"Function","Fun"
"29","conservationofnaturalresources",2008,2,"Function","Fun"
"30","conservationtillage",2008,2,"Function","Fun"
"31","inputenergy",2008,2,"Function","Fun"
"32","integratedfarming",2008,2,"Function","Fun"
"33","soilfertility",2008,2,"Function","Fun"
"34","cropproduction",2009,4,"Function","Fun"
"35","landuse",2009,4,"Function","Fun"
"36","agroforestry",2009,2,"Function","Fun"
"37","cost-benefitanalysis",2009,2,"Function","Fun"
"38","croppingsystem",2009,2,"Function","Fun"
"39","farmingsystem",2009,2,"Function","Fun"
"40","forestmanagement",2009,2,"Function","Fun"
"41","indigenousknowledge",2009,2,"Function","Fun"
"42","organicfarming",2009,2,"Function","Fun"
"43","traditionalknowledge",2009,2,"Function","Fun"
"44","agriculturalecosystem",2010,3,"Function","Fun"
"45","cost-benefitanalysis",2010,2,"Function","Fun"
"46","cropproduction",2010,2,"Function","Fun"
"47","culturalheritage",2010,2,"Function","Fun"
"48","ntfpdomestication",2010,2,"Function","Fun"
"49","sustainability",2011,3,"Function","Fun"
"50","cropproduction",2011,2,"Function","Fun"
"51","soilfertility",2011,2,"Function","Fun"
"52","agriculturalecosystem",2012,4,"Function","Fun"
"53","sustainability",2012,4,"Function","Fun"
"54","agriculturalland",2012,3,"Function","Fun"
"55","biologicalcontrol",2012,3,"Function","Fun"
"56","landuse",2012,3,"Function","Fun"
"57","cost-benefitanalysis",2012,2,"Function","Fun"
"58","cropproduction",2012,2,"Function","Fun"
"59","habitatconservation",2012,2,"Function","Fun"
"60","irrigation",2012,2,"Function","Fun"
"61","soilfertility",2012,2,"Function","Fun"
"62","traditionalecologicalknowledge",2012,2,"Function","Fun"
"63","agroforestry",2013,4,"Function","Fun"
"64","farmingsystem",2013,3,"Function","Fun"
"65","soilfertility",2013,3,"Function","Fun"
"66","sustainability",2013,3,"Function","Fun"
"67","agriculturalecosystem",2013,2,"Function","Fun"
"68","agriculturalland",2013,2,"Function","Fun"
"69","contingentvaluation",2013,2,"Function","Fun"
"70","cropproduction",2013,2,"Function","Fun"
"71","ecosystemservice",2013,2,"Function","Fun"
"72","ethnobotany",2013,2,"Function","Fun"
"73","soilconservation",2013,2,"Function","Fun"
"74","watershed",2013,2,"Function","Fun"
"75","ethnobotany",2014,4,"Function","Fun"
"76","traditionalecologicalknowledge",2014,3,"Function","Fun"
"77","agriculturalmachinery",2014,2,"Function","Fun"
"78","decomposition",2014,2,"Function","Fun"
"79","farmingsystem",2014,2,"Function","Fun"
"80","landuse",2014,2,"Function","Fun"
