"","Combine","n"
"1","agriculturaldevelopment",14
"2","agriculturalproduction",14
"3","economics",14
"4","foodsecurity",11
"5","foodsupply",11
"6","smallholder",11
"7","ruraldevelopment",10
"8","agriculturaleconomics",9
"9","income",9
"10","poverty",9
"11","profitability",9
"12","adaptation",8
"13","agribusiness",8
"14","economicdevelopment",8
"15","livelihood",8
"16","nutrients",8
"17","agroindustry",7
"18","foodproduction",7
"19","vulnerability",7
"20","foodindustry",6
"21","publichealth",6
"22","commerce",5
"23","foodintake",5
"24","foodpolicy",5
"25","foodsafety",5
"26","nutrient",5
"27","certification",4
"28","commercialization",4
"29","consumptionbehavior",4
"30","diet",4
"31","dietarydiversity",4
"32","economicgrowth",4
"33","foodconsumption",4
"34","health",4
"35","householdincome",4
"36","marketing",4
"37","nutritionalvalue",4
"38","tourism",4
"39","agriculturalmarket",3
"40","agriculturalproducts",3
"41","agritourism",3
"42","cashcrops",3
"43","dietaryintake",3
"44","ecotourism",3
"45","foodavailability",3
"46","foodmarket",3
"47","market",3
"48","nutrientavailability",3
"49","nutrientdynamics",3
"50","povertyalleviation",3
"51","qualityoflife",3
"52","resilience",3
"53","smallandmediumenterprises",3
"54","tourismdevelopment",3
"55","agriculturaltrade",2
"56","benefitcostratio",2
"57","foodproducts",2
"58","foodsovereignty",2
"59","incomedistribution",2
"60","supplychainmanagement",2
"61","valuechain",2
"62","agribusinessfirms",1
"63","agribusinessmodel",1
"64","agriculturalco-operatives",1
"65","agriculturalmarketing",1
"66","agriculturegreendevelopment",1
"67","compensation",1
"68","eco-agriculturaltourism",1
"69","ecologicalfootprint",1
"70","farmincome",1
"71","foodbiotechnology",1
"72","foodcomposition",1
"73","foodtechnology",1
"74","greenfood",1
"75","industrialeconomics",1
"76","industrialmanagement",1
"77","livelihoodvulnerability",1
"78","microcredit",1
"79","nutrientaccumulation",1
"80","subsistenceeconomy",1
