"","Combine","n"
"1","landusechange",13
"2","climatechange",12
"3","soilerosion",9
"4","landdegradation",8
"5","environmentalimpact",7
"6","monoculture",5
"7","deforestation",4
"8","drought",4
"9","geneticerosion",4
"10","landabandonment",4
"11","nutrientloss",4
"12","abandonedland",3
"13","agrarianchange",3
"14","climateeffect",3
"15","cropdamage",3
"16","droughtstress",3
"17","environmentaldegradation",3
"18","habitatfragmentation",3
"19","insecticide",3
"20","leaching",3
"21","plantdiseases",3
"22","seasonalvariation",3
"23","soilloss",3
"24","soilpollution",3
"25","disasters",2
"26","diseaseincidence",2
"27","diseaseprevalence",2
"28","environmentalchange",2
"29","environmentalexploitation",2
"30","environmentalstress",2
"31","extremeweatherevents",2
"32","floods",2
"33","fungaldisease",2
"34","abioticstress",1
"35","agriculturalrunoff",1
"36","agriculturaltransitions",1
"37","agrobiodiversityloss",1
"38","arsenicpoisoning",1
"39","bioticstress",1
"40","chemicalfertilizers",1
"41","chillinginjury",1
"42","conservationpolicy-peopleconflicts",1
"43","contamination",1
"44","eutrophication",1
"45","extinctionrisk",1
"46","foodcontamination",1
"47","genderdisparity",1
"48","inbreedingdepression",1
"49","inequality",1
"50","institutionalconstraints",1
"51","intrastateconflict",1
"52","invasiveweed",1
"53","labormigration",1
"54","landfragmentation",1
"55","leafblight",1
"56","marginalization",1
"57","nutrientdeficiency",1
"58","pestdamage",1
"59","pesticidepollution",1
"60","riceblast",1
"61","sedimentation",1
"62","technologicalchange",1
"63","wildlifecropdamage",1
"64","yieldlosses",1
