"","Combine","n"
"1","sustainabledevelopment",16
"2","alternativeagriculture",14
"3","human",13
"4","agriculturalintensification",12
"5","agriculturalmanagement",12
"6","agriculturalresearch",11
"7","fertilizerapplication",11
"8","agriculturalpolicy",10
"9","agriculturalpractice",10
"10","agriculturalworker",9
"11","homegarden",9
"12","traditionalagriculture",9
"13","animalhusbandry",7
"14","integratedapproach",7
"15","intensiveagriculture",7
"16","shiftingcultivation",7
"17","sustainableintensification",7
"18","adaptivemanagement",6
"19","indigenouspeople",6
"20","pestcontrol",6
"21","subsistenceagriculture",6
"22","adoption",5
"23","conservationagriculture",5
"24","conservationplanning",5
"25","foodpolicy",5
"26","gender",5
"27","government",5
"28","greenrevolution",4
"29","investments",4
"30","migration",4
"31","mixedfarming",4
"32","regionalplanning",4
"33","strategicapproach",4
"34","agriculturallabor",3
"35","environmentalpolicy",3
"36","intellectualpropertyrights",3
"37","landscapeplanning",3
"38","participatoryplantbreeding",3
"39","pastoralism",3
"40","precisionagriculture",3
"41","women",3
"42","agriculturalbiotechnology",2
"43","agriculturaldiversification",2
"44","agriculturalextension",2
"45","evergreenrevolution",2
"46","horticulture",2
"47","internationalcooperation",2
"48","participatoryresearch",2
"49","traditionalfarming",2
"50","agroforestryadoption",1
"51","clientorientedbreeding(cob)",1
"52","contractfarming",1
"53","ethniccommunities",1
"54","ethnicgroup",1
"55","farmerfieldschools",1
"56","foodaid",1
"57","forecasting",1
"58","genebank",1
"59","grain-for-greenprogramme",1
"60","new-typeagriculture",1
"61","newlivestockrevolution",1
"62","resourcesassessment",1
"63","uplandagriculture",1
"64","women'sengagement",1
