"","Combine","n"
"1","crops",17
"2","conservation",16
"3","cultivation",15
"4","geneticdiversity",15
"5","cropdiversity",14
"6","cropyield",14
"7","livestock",14
"8","speciesdiversity",12
"9","cultivar",11
"10","geneticvariation",11
"11","germplasm",11
"12","intercropping",11
"13","agroecology",9
"14","geneticvariability",8
"15","livestockfarming",8
"16","speciesrichness",8
"17","agronomy",7
"18","biomass",7
"19","cropimprovement",7
"20","on-farmconservation",7
"21","soilorganicmatter",7
"22","biologicalcontrol",6
"23","breeding",6
"24","conservationgenetics",6
"25","landraces",6
"26","manure",6
"27","conservationtillage",5
"28","geneticanalysis",5
"29","genome",5
"30","plantgeneticresources",5
"31","seed",5
"32","soilquality",5
"33","decomposition",4
"34","geneflow",4
"35","geneticmarker",4
"36","geneticresources",4
"37","genomics",4
"38","insituconservation",4
"39","wildpopulation",4
"40","aquaculture",3
"41","biochar",3
"42","cropdiversification",3
"43","cropproductivity",3
"44","phylogeny",3
"45","plantgenome",3
"46","wildedibleplants",3
"47","cropresidues",2
"48","cropwildrelative",2
"49","enzymeactivity",2
"50","geneintrogression",2
"51","geneticengineering",2
"52","grazing",2
"53","hybridization",2
"54","neglectedandunderutilizedspecies",2
"55","soilchemistry",2
"56","traditionalvariety",2
"57","weedcontrol",2
"58","carryingcapacity",1
"59","cropgeneticdiversity",1
"60","cropvariety",1
"61","cropwildrelatives",1
"62","dnamodification",1
"63","foddertrees",1
"64","forage",1
"65","landresources",1
"66","localvarieties",1
"67","nitrogenbalance",1
"68","on-farmreservoir",1
"69","rainfedecosystem",1
"70","transgeneescape",1
