"","Combine","n"
"1","farmingsystem",18
"2","landuse",17
"3","agroforestry",16
"4","cropproduction",15
"5","sustainability",15
"6","agriculturalecosystem",14
"7","soilfertility",13
"8","agriculturalland",12
"9","traditionalknowledge",12
"10","cost-benefitanalysis",10
"11","ecosystems",9
"12","environmentalprotection",9
"13","ethnobotany",9
"14","irrigation",9
"15","soilconservation",9
"16","ecosystemservice",8
"17","conservationofnaturalresources",7
"18","croppingsystem",7
"19","governanceapproach",7
"20","indigenousknowledge",7
"21","integratedapproach",7
"22","landmanagement",7
"23","organicfarming",7
"24","watershed",7
"25","agriculturalmachinery",6
"26","biologicalcontrol",6
"27","carbonsequestration",6
"28","organiccarbon",6
"29","conservationtillage",5
"30","ecologicalagriculture",5
"31","integratedpestmanagement",5
"32","soilcarbon",5
"33","biotechnology",4
"34","decomposition",4
"35","farmersknowledge",4
"36","forestmanagement",4
"37","landtenure",4
"38","phylogeography",4
"39","climatechangeadaptation",3
"40","ecosystemresilience",3
"41","integratedfarming",3
"42","nitrogenfixation",3
"43","soilhealth",3
"44","systemproductivity",3
"45","traditionalecologicalknowledge",3
"46","bioaccumulation",2
"47","coexistence",2
"48","contingentvaluation",2
"49","culturalheritage",2
"50","ethnomedicine",2
"51","ethnomycology",2
"52","habitatconservation",2
"53","soilmoisture",2
"54","waterconservation",2
"55","agriculturalengineering",1
"56","agriculturalheritage",1
"57","bio-composting",1
"58","culturallandscapes",1
"59","energy-useefficiency",1
"60","folksoiltaxonomy",1
"61","inputenergy",1
"62","integratedplantnutritionsystem",1
"63","man-environmentrelations",1
"64","ntfpdomestication",1
"65","paymentforecosystemservices",1
